,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,D.Herz,Washington Nationals,Atlanta Braves,0, 5 ,1,0,0,3,8,0,3.84,92,58,28,17,13,3,5,70,0.309,1.17,0.00,0.00,2.6,15,825
1,R.Lopez,Atlanta Braves,Washington Nationals,1, 6 ,3,1,1,3,7,0,2.02,94,55,31,9,15,7,6,66,0.206,0.98,0.17,1.32,2.1,18,825
2,M.Kelly,Arizona Diamondbacks,Boston Red Sox,0, 6 ,7,4,4,3,5,2,3.98,101,62,43,7,12,5,12,44,-0.047,0.81,-0.04,1.05,-0.9,18,825
3,T.Houck,Boston Red Sox,Arizona Diamondbacks,1, 6 ,7,6,6,4,2,1,3.23,91,56,30,7,19,11,9,32,-0.361,1.29,-0.19,1.11,-2.9,18,825
4,A.Gomber,Colorado Rockies,New York Yankees,0, 6 ,6,4,4,3,4,1,4.70,85,54,29,9,16,7,12,45,-0.145,0.91,0.00,0.00,-1.0,18,825
5,M.Stroman,New York Yankees,Colorado Rockies,1, 5 ,5,3,3,3,5,0,3.88,97,56,33,6,17,8,7,47,-0.031,1.06,-0.02,1.36,-0.5,15,825
6,N.Martinez,Cincinnati Reds,Pittsburgh Pirates,0, 3 ,5,2,1,0,1,0,3.62,54,34,21,3,10,4,8,44,-0.075,1.05,-0.01,0.13,-0.5,9,825
7,L.Ortiz,Pittsburgh Pirates,Cincinnati Reds,1, 6 ,4,0,0,1,5,0,3.36,95,61,39,6,16,5,12,68,0.339,1.06,0.01,0.03,3.0,18,825
8,T.Anderson,Los Angeles Angels,Toronto Blue Jays,0, 5 ,4,2,2,4,3,0,3.41,97,64,37,11,16,8,8,50,-0.019,1.40,0.00,0.00,0.4,15,825
9,K.Gausman,Toronto Blue Jays,Los Angeles Angels,1, 7 ,2,1,1,0,10,0,4.10,94,69,38,17,14,6,7,79,0.272,0.93,0.01,0.03,2.4,21,825
10,C.Bradford,Texas Rangers,Cleveland Guardians,0, 6 ,3,2,1,2,3,1,3.31,85,59,35,6,18,7,11,61,0.047,0.80,0.00,0.03,1.0,18,825
11,M.Boyd,Cleveland Guardians,Texas Rangers,1, 6 ,3,1,1,1,4,0,2.70,80,52,30,11,11,7,10,65,0.243,1.19,0.22,1.77,2.0,18,825
12,J.Assad,Chicago Cubs,Miami Marlins,0, 7 ,6,3,3,1,3,2,3.15,87,59,38,3,18,13,10,55,-0.020,0.63,-0.00,0.16,0.8,21,825
13,A.Oller,Miami Marlins,Chicago Cubs,1, 5.2,4,1,1,2,6,0,5.23,95,57,37,4,16,3,12,61,0.229,1.05,0.00,0.00,2.0,17,825
14,B.Brieske,Detroit Tigers,Chicago White Sox,0, 1 ,2,2,2,1,0,0,4.53,25,13,6,0,7,2,3,40,-0.156,1.04,-0.01,0.12,-1.5,3,825
15,J.Cannon,Chicago White Sox,Detroit Tigers,1, 4 ,8,5,5,4,4,0,4.57,93,53,27,10,15,5,10,26,-0.350,1.37,0.00,0.00,-2.9,12,825
16,K.Allard,Philadelphia Phillies,Kansas City Royals,0, 5 ,8,2,2,0,5,2,3.50,81,59,34,10,15,11,7,48,0.060,1.19,0.05,1.65,0.6,15,825
17,S.Lugo,Kansas City Royals,Philadelphia Phillies,1, 5.1,11,6,5,1,3,0,3.19,94,63,38,6,19,15,7,26,-0.284,1.17,-0.26,1.81,-2.3,16,825
18,E.Fedde,St Louis Cardinals,Minnesota Twins,0, 6 ,2,1,1,3,7,1,3.31,88,54,25,11,18,5,7,68,0.221,0.92,0.04,0.29,2.0,18,825
