Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
C.Ragans,Kansas City Royals,Minnesota Twins,0,7.0,5,1,1,0,8,1,3.18,106,67,36,16,15,7,11,71,0.308,1.08,0.29,1.71,2.5,21,814
L.Varland,Minnesota Twins,Kansas City Royals,1,6.0,8,3,3,1,3,2,6.14,98,66,47,10,9,7,15,46,-0.065,1.02,-0.06,1.59,0.0,18,814
T.Gordon,Colorado Rockies,Arizona Diamondbacks,0,0.2,3,4,3,2,0,0,7.0,44,24,15,4,4,3,2,30,-0.324,1.09,0.0,0.0,-4.3,2,814
J.Montgomery,Arizona Diamondbacks,Colorado Rockies,1,6.0,5,3,3,3,8,0,6.25,106,68,35,22,11,9,6,55,0.095,0.7,0.07,0.87,0.1,18,814
M.Keller,Pittsburgh Pirates,San Diego Padres,0,5.0,8,8,8,2,2,2,3.95,86,57,35,8,14,9,12,19,-0.355,0.4,-0.03,0.06,-5.5,15,814
M.Perez,San Diego Padres,Pittsburgh Pirates,1,5.1,5,1,1,1,8,1,4.62,93,60,28,11,21,6,8,61,0.131,0.55,0.1,0.69,1.5,16,814
D.Dunning,Texas Rangers,Boston Red Sox,0,5.0,5,4,4,1,3,1,4.92,76,48,26,11,11,8,9,43,-0.167,0.86,-0.01,0.06,-0.8,15,814
T.Houck,Boston Red Sox,Texas Rangers,1,6.2,6,2,2,2,3,1,3.01,108,64,38,13,13,12,10,55,0.112,1.25,0.08,1.42,1.2,20,814
D.Herz,Washington Nationals,Baltimore Orioles,0,6.0,4,2,2,2,5,1,4.25,85,58,35,12,11,8,8,59,0.055,0.78,0.0,0.04,0.8,18,814
D.Kremer,Baltimore Orioles,Washington Nationals,1,6.0,5,1,1,2,3,0,4.48,92,62,39,6,17,11,8,59,0.26,1.13,0.21,1.54,1.8,18,814
K.Gibson,St Louis Cardinals,Cincinnati Reds,0,4.2,7,7,6,2,6,4,4.26,95,55,28,8,19,5,10,28,-0.247,0.55,-0.11,0.41,-3.7,14,814
E.Pagan,Cincinnati Reds,St. Louis Cardinals,1,2.0,2,0,0,0,1,0,3.86,22,17,12,2,3,2,3,53,0.101,0.92,0.03,0.45,1.0,6,814
J.Taillon,Chicago Cubs,Cleveland Guardians,0,6.0,5,4,4,2,6,0,3.62,90,60,35,12,13,8,9,50,-0.201,0.94,-0.03,0.27,-1.0,18,814
A.Cobb,Cleveland Guardians,Chicago Cubs,1,5.2,3,1,1,2,3,0,4.35,80,50,32,3,15,6,10,60,0.153,0.83,0.1,0.96,1.6,17,814
B.Woo,Seattle Mariners,Detroit Tigers,0,7.0,4,0,0,0,6,0,2.06,85,61,33,11,17,8,11,75,0.488,1.18,0.33,1.34,3.6,21,814
B.Brieske,Detroit Tigers,Seattle Mariners,1,1.1,2,0,0,1,2,0,4.43,37,21,14,3,4,2,2,51,0.009,1.12,0.0,0.11,0.1,4,814
E.Cabrera,Miami Marlins,Philadelphia Phillies,0,4.0,6,6,6,4,2,1,5.76,82,44,26,7,11,9,5,24,-0.471,1.39,0.0,0.0,-4.0,12,814
T.Phillips,Philadelphia Phillies,Miami Marlins,1,4.1,9,5,5,1,4,1,5.5,87,58,36,9,13,10,9,28,-0.356,0.96,-0.27,1.2,-3.2,13,814
R.Blanco,Houston Astros,Tampa Bay Rays,0,6.0,2,0,0,0,4,0,2.89,73,46,27,10,9,8,8,72,0.369,0.96,0.28,1.23,2.9,18,814
Z.Littell,Tampa Bay Rays,Houston Astros,1,5.0,1,1,1,2,3,1,3.89,68,44,31,8,5,4,9,62,0.114,0.75,0.02,0.22,1.4,15,814
J.Estes,Oakland Athletics,New York Mets,0,5.1,7,3,3,0,3,2,4.72,88,62,44,8,10,5,15,45,-0.118,0.76,-0.0,0.0,-0.6,16,814
D.Peterson,New York Mets,Oakland Athletics,1,6.1,3,1,0,4,4,0,3.04,88,52,26,9,17,11,7,65,0.229,1.22,0.13,1.12,1.9,19,814
W.Warren,New York Yankees,Chicago White Sox,0,5.0,7,2,2,0,5,1,8.59,94,60,33,11,16,9,6,50,0.006,0.86,0.01,1.12,0.5,15,814
D.Martin,Chicago White Sox,New York Yankees,1,5.2,4,1,1,3,5,1,3.0,85,55,33,9,13,9,7,59,0.131,1.33,0.0,0.0,1.2,17,814
W.Buehler,Los Angeles Dodgers,Milwaukee Brewers,0,3.1,3,4,1,4,3,1,5.58,87,46,26,5,15,6,5,43,-0.271,1.24,-0.22,1.68,-2.5,10,814
F.Montas,Milwaukee Brewers,Los Angeles Dodgers,1,5.0,5,3,0,3,6,0,4.86,102,65,36,8,21,2,13,54,-0.014,1.19,-0.01,1.66,-0.4,15,814
J.Berrios,Toronto Blue Jays,Los Angeles Angels,0,7.0,2,1,1,1,5,1,3.85,84,61,32,9,20,11,6,73,0.225,0.69,0.01,0.03,2.5,21,814
T.Anderson,Los Angeles Angels,Toronto Blue Jays,1,5.2,6,7,7,4,8,2,3.3,98,67,35,19,13,6,9,33,-0.275,0.5,-0.0,0.01,-4.4,17,814
G.Holmes,Atlanta Braves,San Francisco Giants,0,7.0,8,2,2,1,6,1,3.6,95,68,38,14,16,13,9,58,0.094,0.42,0.08,0.63,1.4,21,814
R.Ray,San Francisco Giants,Atlanta Braves,1,0.2,1,5,5,3,2,1,6.0,39,21,9,6,6,0,1,29,-0.379,1.43,-0.16,1.0,-4.7,2,814
