,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,Z.Eflin,Tampa Bay Rays,New York Yankees,0, 6 ,3,0,0,0,6,0,3.68,78,49,22,11,16,7,8,72,0.361,0.91,0.22,0.92,3.1,18,420
1,N.Cortes,New York Yankees,Tampa Bay Rays,1, 7 ,6,0,0,0,9,0,3.41,102,69,41,14,14,7,10,74,0.450,1.29,0.33,1.56,3.6,21,420
2,R.Olson,Detroit Tigers,Minnesota Twins,0, 5 ,5,4,2,2,4,0,3.80,95,60,35,12,13,8,8,47,-0.142,0.93,-0.09,0.95,-1.4,15,420
3,B.Ober,Minnesota Twins,Detroit Tigers,1, 6 ,2,1,1,1,6,0,4.91,82,57,31,13,13,2,12,69,0.270,0.75,0.11,0.51,2.1,18,420
4,D.Hall,Milwaukee Brewers,St. Louis Cardinals,0, 3.2,5,4,4,5,3,0,7.71,90,50,22,8,20,6,6,33,-0.237,1.09,-0.18,1.35,-2.1,11,420
5,M.Mikolas,St Louis Cardinals,St. Louis Cardinals,0, 4.2,9,5,5,0,5,3,6.49,80,57,33,8,16,6,12,31,-0.313,1.00,-0.16,0.87,-2.6,14,420
6,J.Luzardo,Miami Marlins,Chicago Cubs,0, 6 ,3,2,2,3,6,0,6.58,104,64,36,14,14,5,10,61,0.077,0.99,0.01,0.33,1.3,18,420
7,J.Assad,Chicago Cubs,Miami Marlins,1, 4.2,3,1,1,3,3,0,2.11,87,51,30,3,18,3,11,54,0.109,1.32,0.07,1.44,1.2,14,420
8,J.Butto,New York Mets,Los Angeles Dodgers,0, 4.1,3,2,2,5,6,0,1.65,95,47,24,8,15,5,5,50,0.033,1.37,0.02,1.53,0.5,13,420
9,G.Stone,Los Angeles Dodgers,New York Mets,1, 3.1,4,2,2,5,1,0,6.00,72,38,26,4,8,7,5,40,0.007,1.19,0.01,1.27,0.2,10,420
10,K.Crawford,Boston Red Sox,Pittsburgh Pirates,0, 6 ,7,1,1,3,6,0,0.66,100,68,33,16,19,4,14,57,0.245,1.48,0.13,1.35,2.1,18,420
11,M.Keller,Pittsburgh Pirates,Boston Red Sox,1, 6 ,5,4,4,4,4,1,4.80,88,57,32,4,21,10,8,46,-0.147,0.88,-0.09,0.85,-0.9,18,420
12,Z.Gallen,Arizona Diamondbacks,San Francisco Giants,0, 5 ,9,5,5,1,6,2,3.00,99,64,34,15,15,6,12,34,-0.328,1.05,-0.20,1.06,-2.5,15,420
13,K.Harrison,San Francisco Giants,Arizona Diamondbacks,1, 4 ,6,3,3,1,5,0,5.00,74,46,28,6,12,7,6,42,-0.114,1.11,-0.07,1.04,-1.0,12,420
14,R.Blanco,Houston Astros,Washington Nationals,0, 6 ,5,2,2,3,6,1,1.33,98,63,41,11,11,9,8,57,0.071,1.23,0.02,0.69,1.1,18,420
15,T.Williams,Washington Nationals,Houston Astros,1, 6 ,3,1,1,0,4,0,2.91,77,52,33,3,16,9,6,66,0.264,0.96,0.12,0.73,2.1,18,420
16,M.Soroka,Chicago White Sox,Philadelphia Phillies,0, 4.2,6,5,5,3,2,1,7.50,100,61,42,7,12,6,12,31,-0.139,0.60,-0.02,0.17,-0.9,14,420
17,Z.Wheeler,Philadelphia Phillies,Chicago White Sox,1, 7.1,1,0,0,2,8,0,2.30,106,75,45,13,17,10,5,82,0.268,0.59,0.16,0.60,3.6,22,420
18,A.Wood,Oakland Athletics,Cleveland Guardians,0, 5 ,8,4,4,1,4,1,7.89,86,57,35,7,15,5,13,38,-0.270,0.95,-0.13,0.76,-1.5,15,420
