Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
F.Montas,Cincinnati Reds,Atlanta Braves,0,4.1,10,4,4,3,6,0,5.01,101,68,42,7,19,10,8,30,-0.226,1.2,-0.06,0.52,-3.0,13,724
A.Winans,Atlanta Braves,Cincinnati Reds,1,2.2,6,7,7,2,3,2,15.26,65,45,25,10,10,4,7,19,-0.511,0.79,-0.36,0.94,-5.8,8,724
M.Liberatore,St Louis Cardinals,Pittsburgh Pirates,0,3.0,4,5,5,3,3,1,4.75,69,43,23,7,13,3,7,31,-0.278,1.06,-0.21,1.35,-3.5,9,724
M.Perez,Pittsburgh Pirates,St. Louis Cardinals,1,6.0,4,0,0,5,2,0,5.2,91,51,29,7,15,10,8,61,0.214,0.66,0.13,0.66,3.0,18,724
A.Nola,Philadelphia Phillies,Minnesota Twins,0,6.0,6,1,1,3,6,1,3.44,98,64,38,9,17,7,10,59,0.218,1.21,0.08,0.74,2.0,18,724
S.Okert,Minnesota Twins,Philadelphia Phillies,1,0.1,1,0,0,1,0,0,4.34,14,7,5,0,2,1,1,48,-0.085,1.33,-0.07,1.72,-0.9,1,724
R.Zastryzny,Milwaukee Brewers,Chicago Cubs,0,1.0,4,1,1,0,0,0,1.17,38,29,21,5,3,4,3,41,-0.147,0.91,-0.11,1.14,-1.5,3,724
J.Steele,Chicago Cubs,Milwaukee Brewers,1,5.1,6,2,2,3,4,0,3.08,98,64,38,6,20,7,10,49,0.123,1.35,0.03,0.52,1.1,16,724
N.Pivetta,Boston Red Sox,Colorado Rockies,0,2.2,10,8,7,0,6,2,4.4,76,53,33,10,10,2,11,14,-0.411,0.63,-0.29,0.75,-6.7,8,724
C.Quantrill,Colorado Rockies,Boston Red Sox,1,6.0,6,3,2,2,3,1,4.09,83,52,29,10,13,9,10,51,0.06,0.48,0.0,0.0,0.3,18,724
H.Brown,Houston Astros,Oakland Athletics,0,6.0,8,1,1,1,8,0,4.0,97,57,31,16,10,12,5,59,0.228,1.31,0.15,1.4,1.8,18,724
J.Sears,Oakland Athletics,Houston Astros,1,6.0,9,8,7,0,3,1,4.81,82,59,45,5,9,11,13,27,-0.262,0.81,-0.0,0.01,-4.8,18,724
G.Canning,Los Angeles Angels,Seattle Mariners,0,5.0,4,1,1,3,6,1,5.04,94,57,34,12,11,4,8,58,0.102,0.96,0.01,0.16,1.2,15,724
L.Castillo,Seattle Mariners,Los Angeles Angels,1,6.0,5,0,0,2,7,0,3.38,100,64,33,9,22,8,7,67,0.353,1.25,0.24,1.4,2.7,18,724
J.Flaherty,Detroit Tigers,Cleveland Guardians,0,6.0,3,1,0,2,6,0,2.95,96,60,34,11,15,5,10,68,0.217,1.16,0.07,0.59,2.0,18,724
T.Bibee,Cleveland Guardians,Detroit Tigers,1,5.0,2,1,1,1,4,1,3.5,67,43,23,6,14,4,8,62,0.142,0.69,0.1,0.79,1.5,15,724
C.McDermott,Baltimore Orioles,Miami Marlins,0,4.0,5,3,3,2,3,1,6.75,82,52,33,10,9,8,5,41,-0.108,1.03,-0.08,1.21,-0.8,12,724
E.Cabrera,Miami Marlins,Baltimore Orioles,1,5.1,3,3,3,4,6,0,7.04,90,54,28,11,15,6,7,52,0.152,1.06,0.0,0.0,1.6,16,724
M.Waldron,San Diego Padres,Washington Nationals,0,6.0,4,3,3,2,4,1,3.64,90,53,26,8,19,9,7,54,-0.126,0.48,-0.08,0.49,-0.1,18,724
M.Parker,Washington Nationals,San Diego Padres,1,3.0,7,6,6,3,5,1,4.34,77,49,32,4,13,5,6,23,-0.462,1.2,-0.09,0.39,-4.6,9,724
S.Manaea,New York Mets,New York Yankees,0,4.2,3,2,2,4,4,2,3.74,103,57,32,11,14,4,8,50,-0.053,0.96,-0.03,0.95,-0.3,14,724
G.Cole,New York Yankees,New York Mets,1,5.2,8,6,6,2,4,3,5.4,100,66,42,6,18,10,11,31,-0.382,0.74,-0.29,0.93,-3.4,17,724
Z.Eflin,Tampa Bay Rays,Toronto Blue Jays,0,5.2,6,2,2,0,4,1,4.09,85,62,41,8,13,7,11,53,0.036,0.81,0.01,0.49,0.7,17,724
Y.Rodriguez,Toronto Blue Jays,Tampa Bay Rays,1,5.2,2,2,2,1,6,0,3.6,73,48,25,6,17,4,9,62,0.205,1.11,0.01,0.1,1.7,17,724
C.Flexen,Chicago White Sox,Texas Rangers,0,4.2,7,3,3,2,3,1,5.25,105,58,34,8,16,8,10,39,-0.031,1.12,0.0,0.0,0.1,14,724
N.Eovaldi,Texas Rangers,Chicago White Sox,1,7.0,4,2,2,0,10,1,3.31,98,66,32,19,15,11,4,71,0.161,0.95,0.06,0.61,1.3,21,724
R.Nelson,Arizona Diamondbacks,Kansas City Royals,0,6.0,9,4,4,2,2,0,4.85,90,62,45,2,15,9,13,38,-0.185,1.15,-0.11,1.15,-0.9,18,724
M.Wacha,Kansas City Royals,Arizona Diamondbacks,1,4.2,6,3,3,1,1,3,3.65,81,49,32,1,16,10,8,40,-0.143,0.92,-0.11,1.21,-0.9,14,724
R.Ray,San Francisco Giants,Los Angeles Dodgers,0,5.0,0,1,1,2,8,0,1.8,86,51,19,20,12,2,5,69,0.171,1.11,0.04,0.42,1.5,15,724
T.Glasnow,Los Angeles Dodgers,San Francisco Giants,1,5.0,4,2,2,4,4,1,3.47,91,52,30,8,14,6,7,51,0.008,1.23,0.01,1.33,0.5,15,724
