Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
F.Peralta,Milwaukee Brewers,Pittsburgh Pirates,0,4.2,5,5,5,5,5,1,3.18,91,51,24,12,15,6,8,34,-0.356,1.1,-0.26,1.35,-2.6,14,425
M.Keller,Pittsburgh Pirates,Milwaukee Brewers,1,5.0,6,4,4,2,7,1,5.14,104,64,34,9,21,2,12,44,-0.175,1.26,-0.11,1.27,-1.4,15,425
Z.Wheeler,Philadelphia Phillies,Cincinnati Reds,0,6.0,1,0,0,4,8,0,1.93,103,62,31,13,18,6,4,74,0.259,0.85,0.17,0.96,3.3,18,425
N.Martinez,Cincinnati Reds,Philadelphia Phillies,1,6.0,11,5,5,0,3,1,5.48,89,60,36,9,15,7,17,33,-0.206,0.56,-0.13,0.6,-1.7,18,425
C.Anderson,Boston Red Sox,Cleveland Guardians,0,1.2,3,5,5,3,0,2,5.52,53,30,19,1,10,1,7,26,-0.315,1.17,-0.2,1.24,-4.1,5,425
T.McKenzie,Cleveland Guardians,Boston Red Sox,1,4.0,6,2,2,2,7,0,4.91,75,50,25,13,12,3,7,47,0.077,1.14,0.06,1.39,-0.0,12,425
M.Soroka,Chicago White Sox,Minnesota Twins,0,5.0,4,2,2,2,1,2,6.83,68,39,24,0,15,5,13,50,-0.022,1.03,-0.0,0.17,0.6,15,425
S.Woods,Minnesota Twins,Chicago White Sox,1,5.0,7,2,2,1,6,0,2.45,94,66,45,10,11,4,12,50,0.015,1.09,0.01,0.81,0.6,15,425
J.Berrios,Toronto Blue Jays,Kansas City Royals,0,5.0,3,2,2,3,1,1,1.23,67,45,31,3,11,5,11,51,0.019,0.74,0.01,0.72,0.6,15,425
C.Ragans,Kansas City Royals,Toronto Blue Jays,1,5.0,3,1,1,3,4,0,3.9,76,46,28,8,10,5,9,58,0.178,1.19,0.12,1.34,1.6,15,425
J.Verlander,Houston Astros,Chicago Cubs,0,4.1,3,0,0,4,7,0,1.74,95,61,33,15,13,3,6,60,0.182,1.49,0.05,0.62,1.8,13,425
J.Assad,Chicago Cubs,Houston Astros,1,5.2,4,1,1,1,5,0,2.0,85,54,33,4,17,5,11,61,0.17,0.9,0.11,0.95,1.8,17,425
L.Castillo,Seattle Mariners,Texas Rangers,0,6.0,4,2,2,2,6,2,4.15,102,62,28,14,20,4,11,60,0.151,1.17,0.1,1.3,1.2,18,425
A.Heaney,Texas Rangers,Seattle Mariners,1,6.0,5,4,4,0,7,2,6.26,79,59,35,11,13,4,12,53,-0.16,0.79,-0.11,0.91,-0.8,18,425
R.Vasquez,San Diego Padres,Colorado Rockies,0,2.2,6,4,4,2,2,1,5.87,72,47,32,11,4,5,6,30,-0.253,1.27,-0.15,1.28,-2.5,8,425
D.Hudson,Colorado Rockies,San Diego Padres,1,3.1,6,6,6,4,4,1,6.57,73,41,18,8,15,9,3,24,-0.42,1.15,-0.08,0.37,-4.1,10,425
Y.Yamamoto,Los Angeles Dodgers,Washington Nationals,0,6.0,4,0,0,1,7,0,3.54,97,70,36,8,26,5,10,70,0.392,1.16,0.26,1.28,3.1,18,425
M.Gore,Washington Nationals,Los Angeles Dodgers,1,6.0,7,1,1,2,4,1,3.12,102,66,40,15,11,6,11,56,0.199,1.18,0.09,0.89,2.1,18,425
A.Wood,Oakland Athletics,New York Yankees,0,5.2,8,1,1,2,5,1,6.59,98,62,33,9,20,7,11,52,0.218,1.45,0.08,0.87,1.9,17,425
N.Cortes,New York Yankees,Oakland Athletics,1,7.0,5,3,3,0,4,2,3.5,94,66,46,7,13,8,14,59,-0.024,0.68,-0.02,0.79,0.6,21,425
