Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO
Yusei Kikuchi,Toronto Blue Jays,New York Yankees,0,5.1,4,0,0,2,7,0,2.79,96,58,31,7,20,8,3,65,0.319,0.96,0.18,0.88,2.9,16
Marcus Stroman,New York Yankees,Toronto Blue Jays,1,6.0,3,0,0,1,6,0,0.0,98,57,36,5,16,7,9,71,0.361,1.0,0.25,1.16,3.1,18
JP Sears,Oakland Athletics,Detroit Tigers,0,5.2,6,4,4,1,1,2,8.68,91,66,49,4,13,6,15,41,-0.191,0.67,-0.08,0.47,-1.2,17
Tarik Skubal,Detroit Tigers,Oakland Athletics,1,6.1,4,4,4,2,9,2,2.92,92,62,30,15,17,7,7,56,0.016,0.87,0.01,0.94,0.1,19
Bobby Miller,Los Angeles Dodgers,Chicago Cubs,0,1.2,4,5,5,2,3,1,5.87,58,32,18,6,8,2,4,28,-0.405,1.34,-0.28,1.53,-4.2,5
Kyle Hendricks,Chicago Cubs,Los Angeles Dodgers,1,4.0,8,5,5,2,4,1,11.74,83,51,27,8,16,6,10,28,-0.354,1.1,-0.21,1.08,-3.4,12
Zack Littell,Tampa Bay Rays,Colorado Rockies,0,5.0,5,1,1,0,5,0,0.82,69,52,28,11,13,4,11,58,0.231,0.96,0.12,0.8,2.0,15
Austin Gomber,Colorado Rockies,Tampa Bay Rays,1,4.0,4,2,2,3,7,0,6.23,89,57,31,13,13,1,8,50,0.027,1.21,0.01,0.87,0.4,12
Grayson Rodriguez,Baltimore Orioles,Pittsburgh Pirates,0,6.1,6,2,2,2,7,2,2.19,97,64,40,10,14,8,10,58,0.21,1.18,0.12,1.1,1.4,19
Jared Jones,Pittsburgh Pirates,Baltimore Orioles,1,6.0,6,2,2,0,7,2,3.86,80,63,38,18,7,5,12,59,0.074,0.81,0.05,0.85,1.1,18
Dylan Cease,San Diego Padres,San Francisco Giants,0,6.0,4,2,2,2,7,0,3.38,102,64,34,15,15,5,10,61,0.094,1.39,0.05,1.33,1.1,18
Jordan Hicks,San Francisco Giants,San Diego Padres,1,7.0,5,2,1,0,5,0,0.75,91,61,37,8,16,12,8,66,0.182,1.01,0.1,0.91,1.6,21
Jose Quintana,New York Mets,Cincinnati Reds,0,5.2,5,1,1,4,4,1,2.61,102,56,34,6,16,7,11,55,0.175,1.13,0.08,0.89,1.8,17
Hunter Greene,Cincinnati Reds,New York Mets,1,6.0,3,1,1,1,6,0,2.53,99,71,44,13,14,6,9,67,0.24,1.32,0.14,1.28,2.3,18
Aaron Nola,Philadelphia Phillies,Washington Nationals,0,5.2,2,0,0,4,4,0,5.4,95,56,38,8,10,7,7,65,0.281,1.02,0.16,0.95,2.8,17
Patrick Corbin,Washington Nationals,Philadelphia Phillies,1,6.0,9,4,4,3,6,0,6.97,93,65,41,12,12,12,9,41,-0.164,0.8,-0.09,0.75,-2.3,18
Tommy Henry,Arizona Diamondbacks,Atlanta Braves,0,5.0,6,2,2,2,5,1,7.0,102,70,42,13,15,10,7,50,0.089,1.19,0.05,1.17,0.7,15
Spencer Strider,Atlanta Braves,Arizona Diamondbacks,1,4.0,7,5,5,3,4,1,7.0,88,56,33,12,11,5,10,29,-0.296,1.05,-0.19,1.11,-2.8,12
Erick Fedde,Chicago White Sox,Kansas City Royals,0,5.0,6,1,1,2,4,0,2.79,91,53,33,3,17,9,8,53,0.057,0.96,0.03,0.71,0.6,15
Brady Singer,Kansas City Royals,Chicago White Sox,1,6.1,2,1,1,1,4,1,0.68,72,49,27,9,13,13,3,68,0.254,0.94,0.13,0.81,2.1,19
Hunter Brown,Houston Astros,Texas Rangers,0,3.0,8,5,5,4,3,1,6.43,80,45,27,5,13,5,9,22,-0.288,0.97,-0.14,0.81,-3.4,9
Cody Bradford,Texas Rangers,Houston Astros,1,7.2,2,1,1,0,4,0,2.13,97,72,44,9,19,6,16,75,0.182,0.4,0.12,0.43,4.0,23
Logan Gilbert,Seattle Mariners,Milwaukee Brewers,0,5.2,5,4,4,1,7,3,3.55,94,58,27,11,20,5,10,49,-0.252,0.63,-0.13,0.54,-1.2,17
Freddy Peralta,Milwaukee Brewers,Seattle Mariners,1,5.2,4,3,3,1,7,0,3.09,88,50,26,13,11,6,8,55,-0.063,1.23,-0.04,1.19,-0.1,17
Kutter Crawford,Boston Red Sox,Los Angeles Angels,0,4.2,2,1,1,3,5,0,0.84,90,56,35,7,14,6,6,58,0.069,0.96,0.04,1.03,0.9,14
Griffin Canning,Los Angeles Angels,Boston Red Sox,1,4.2,5,4,4,3,4,3,8.38,91,52,32,7,13,4,11,39,-0.22,0.54,-0.14,0.56,-1.9,14
