Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
D.Thorpe,Chicago White Sox,Detroit Tigers,0,6.0,2,0,0,4,5,0,5.02,94,47,20,11,16,7,7,69,0.29,0.84,0.0,0.0,3.0,18,622
K.Maeda,Detroit Tigers,Chicago White Sox,1,4.2,8,3,3,0,5,0,6.0,92,64,40,12,12,8,9,41,-0.043,1.07,-0.01,0.47,-0.0,14,622
J.Hicks,San Francisco Giants,St. Louis Cardinals,0,4.0,6,5,5,3,1,2,3.24,88,49,31,3,15,4,12,28,-0.356,1.19,-0.15,0.82,-3.0,12,622
M.Mikolas,St Louis Cardinals,St. Louis Cardinals,0,6.0,6,4,4,2,3,0,4.68,88,57,33,5,19,6,14,45,-0.066,0.94,-0.04,0.88,-1.0,18,622
T.Megill,New York Mets,Chicago Cubs,0,3.0,5,6,6,3,6,1,4.81,78,45,24,8,13,4,4,28,-0.349,0.68,-0.15,0.48,-4.5,9,622
J.Taillon,Chicago Cubs,New York Mets,1,7.0,6,1,1,0,10,1,2.9,93,61,32,12,17,5,12,71,0.144,0.41,0.06,0.27,2.6,21,622
T.Henry,Arizona Diamondbacks,Philadelphia Phillies,0,3.2,6,6,6,2,2,2,7.04,69,39,26,4,9,5,9,25,-0.295,0.65,-0.17,0.62,-4.3,11,622
Z.Wheeler,Philadelphia Phillies,Arizona Diamondbacks,1,7.0,2,1,1,0,8,0,2.73,97,65,35,14,16,7,8,77,0.18,0.46,0.09,0.38,2.5,21,622
Z.Eflin,Tampa Bay Rays,Pittsburgh Pirates,0,7.0,5,4,4,1,6,1,4.2,95,66,34,12,20,12,8,56,-0.152,0.66,-0.04,0.32,-0.5,21,622
J.Jones,Pittsburgh Pirates,Tampa Bay Rays,1,7.0,3,2,2,3,8,0,3.66,94,59,31,11,17,8,7,68,0.216,1.04,0.09,0.74,1.5,21,622
M.Wacha,Kansas City Royals,Texas Rangers,0,5.0,3,1,1,1,5,1,4.07,74,52,30,13,9,4,9,61,0.11,1.0,0.07,1.12,1.4,15,622
J.Gray,Texas Rangers,Kansas City Royals,1,6.0,2,0,0,0,3,0,3.03,72,51,27,6,18,4,13,71,0.357,0.86,0.12,0.48,2.9,18,622
B.Ober,Minnesota Twins,Oakland Athletics,0,9.0,4,2,2,0,10,2,4.5,89,70,36,20,14,7,13,81,-0.028,0.2,-0.02,0.2,2.1,27,622
J.Sears,Oakland Athletics,Minnesota Twins,1,1.1,9,8,8,0,1,1,5.04,50,33,24,2,7,3,9,5,-0.521,1.33,-0.01,0.05,-7.4,4,622
N.Pivetta,Boston Red Sox,Cincinnati Reds,0,4.1,6,3,3,1,5,2,4.06,96,60,45,6,9,5,9,43,-0.182,0.52,-0.09,0.41,-1.6,13,622
F.Montas,Cincinnati Reds,Boston Red Sox,1,6.0,5,2,2,1,4,1,4.48,72,52,31,7,14,7,11,57,0.135,0.96,0.06,0.68,1.1,18,622
J.Berrios,Toronto Blue Jays,Cleveland Guardians,0,5.0,6,5,5,1,3,3,3.43,86,54,34,6,14,4,13,37,-0.341,0.8,-0.08,0.31,-2.6,15,622
B.Lively,Cleveland Guardians,Toronto Blue Jays,1,5.2,3,2,2,2,4,2,3.03,82,57,36,6,15,7,8,57,0.031,0.84,0.02,0.81,0.4,17,622
C.Burnes,Baltimore Orioles,Houston Astros,0,7.0,5,4,4,0,5,2,2.35,90,61,36,12,13,7,14,56,-0.193,0.65,-0.1,0.58,-0.6,21,622
R.Blanco,Houston Astros,Baltimore Orioles,1,7.0,4,1,1,3,4,1,2.34,98,66,32,14,20,7,13,66,0.242,0.84,0.08,0.48,2.4,21,622
L.Gilbert,Seattle Mariners,Miami Marlins,0,8.0,4,0,0,1,6,0,2.71,92,68,40,19,9,14,7,79,0.212,0.43,0.13,0.43,4.2,24,622
S.Anderson,Miami Marlins,Seattle Mariners,1,3.1,8,6,5,0,3,0,11.42,70,47,32,4,11,4,12,25,-0.291,0.87,-0.0,0.01,-4.6,10,622
C.Morton,Atlanta Braves,New York Yankees,0,5.2,5,5,5,5,4,1,4.2,97,53,32,9,12,7,9,38,-0.204,0.73,-0.14,0.83,-1.3,17,622
M.Stroman,New York Yankees,Atlanta Braves,1,6.2,3,3,3,2,6,2,3.15,93,58,36,9,13,8,8,60,0.185,0.72,0.1,0.64,0.4,20,622
C.Rodriguez,Milwaukee Brewers,San Diego Padres,0,4.0,6,4,4,0,2,2,7.3,72,45,29,7,9,4,11,36,-0.192,0.96,-0.15,1.28,-2.1,12,622
R.Vasquez,San Diego Padres,Milwaukee Brewers,1,5.0,5,0,0,3,3,0,5.1,98,60,43,3,14,6,8,57,0.244,0.97,0.14,0.93,2.4,15,622
M.Parker,Washington Nationals,Colorado Rockies,0,6.0,6,4,4,2,8,1,3.3,98,66,40,11,15,7,8,50,-0.135,0.92,-0.06,0.68,-0.7,18,622
C.Quantrill,Colorado Rockies,Washington Nationals,1,6.0,7,3,3,1,5,1,3.5,95,62,35,8,19,9,10,50,0.047,0.95,0.0,0.02,0.3,18,622
Z.Plesac,Los Angeles Angels,Los Angeles Dodgers,0,3.1,7,6,6,1,1,2,8.68,65,41,25,5,11,3,13,22,-0.26,0.69,-0.02,0.07,-3.2,10,622
T.Glasnow,Los Angeles Dodgers,Los Angeles Angels,1,7.0,2,2,1,0,10,1,2.88,74,51,23,9,18,6,7,77,0.173,0.55,0.12,0.62,1.5,21,622
