Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
C.Schmidt,New York Yankees,Minnesota Twins,0,8.0,3,0,0,0,8,0,2.49,103,69,36,14,19,9,12,84,0.325,0.58,0.24,0.71,4.1,24,516
J.Ryan,Minnesota Twins,New York Yankees,1,5.1,6,4,4,1,5,1,3.57,93,60,35,9,16,8,9,44,-0.123,0.64,-0.09,0.76,-0.6,16,516
J.Quintana,New York Mets,Philadelphia Phillies,0,5.1,4,2,2,0,4,0,5.21,81,49,26,11,12,7,9,56,0.228,0.99,0.09,0.66,2.2,16,516
T.Walker,Philadelphia Phillies,New York Mets,1,3.1,4,2,2,2,1,1,4.91,59,37,22,3,12,5,7,43,-0.095,0.8,-0.06,0.84,-0.9,10,516
Z.Littell,Tampa Bay Rays,Boston Red Sox,0,5.0,7,4,4,1,3,1,3.44,91,59,43,6,10,8,12,39,-0.117,1.31,-0.06,1.1,-1.3,15,516
C.Criswell,Boston Red Sox,Tampa Bay Rays,1,3.2,4,5,3,2,3,1,2.76,100,61,33,9,19,8,5,38,-0.307,1.03,-0.17,0.94,-3.2,11,516
J.Jones,Pittsburgh Pirates,Chicago Cubs,0,6.0,7,3,3,0,7,1,2.89,91,66,40,15,11,8,10,53,0.053,1.01,0.02,0.68,0.3,18,516
J.Steele,Chicago Cubs,Pittsburgh Pirates,1,5.2,6,5,5,1,7,2,5.68,88,62,37,7,18,4,13,43,-0.283,0.89,-0.21,1.07,-2.1,17,516
J.Estes,Oakland Athletics,Houston Astros,0,3.2,8,8,8,4,4,1,9.35,89,56,32,7,17,2,13,13,-0.309,1.2,-0.11,0.71,-5.3,11,516
C.Javier,Houston Astros,Oakland Athletics,1,6.0,2,0,0,1,8,0,3.23,80,52,24,15,13,6,6,75,0.183,0.44,0.06,0.26,3.1,18,516
B.Suter,Cincinnati Reds,Los Angeles Dodgers,0,0.2,0,0,0,1,0,0,3.76,16,8,5,2,1,1,1,51,0.028,0.92,0.01,0.52,0.3,2,516
T.Glasnow,Los Angeles Dodgers,Cincinnati Reds,1,5.0,6,4,4,1,8,1,2.9,92,65,38,12,15,5,9,46,-0.159,0.74,-0.11,0.85,-1.3,15,516
