,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,T.Myers,Milwaukee Brewers,Cincinnati Reds,0, 5.2,8,3,2,4,7,1,3.00,99,63,40,9,14,6,11,46,-0.092,1.17,-0.07,1.38,-0.5,17,901
1,B.Williamson,Cincinnati Reds,Milwaukee Brewers,1, 3.1,4,2,2,0,5,1,5.40,66,44,25,6,13,4,5,49,-0.034,1.18,0.00,0.00,-0.2,10,901
2,M.Mikolas,St Louis Cardinals,New York Yankees,0, 4 ,7,5,3,0,5,1,5.27,90,58,38,6,14,9,5,37,-0.376,0.92,-0.04,0.17,-4.0,12,901
3,N.Cortes,New York Yankees,St. Louis Cardinals,1, 4 ,9,5,5,1,2,1,4.08,80,48,33,4,11,7,11,25,-0.368,1.32,-0.27,1.65,-3.0,12,901
4,J.Wicks,Chicago Cubs,Washington Nationals,0, 5 ,4,1,1,0,0,0,3.82,69,47,37,3,7,10,8,55,0.138,0.90,0.04,0.46,1.4,15,901
5,M.Parker,Washington Nationals,Chicago Cubs,1, 6 ,7,4,3,1,8,0,4.27,89,64,40,14,10,6,12,51,-0.209,1.01,0.00,0.00,-1.1,18,901
6,M.Keller,Pittsburgh Pirates,Cleveland Guardians,0, 5.1,11,4,3,0,7,3,3.88,85,60,28,14,18,6,13,39,-0.167,0.51,0.00,0.00,-2.2,16,901
7,A.Cobb,Cleveland Guardians,Pittsburgh Pirates,1, 6 ,2,1,0,0,6,0,2.76,80,51,26,10,15,12,2,72,0.223,0.68,0.22,1.09,2.0,18,901
8,C.Criswell,Boston Red Sox,Detroit Tigers,0, 4 ,0,0,0,0,5,0,4.14,52,35,19,5,11,4,3,67,0.213,0.70,0.11,0.63,2.0,12,901
9,B.Brieske,Detroit Tigers,Boston Red Sox,1, 1.1,0,0,0,2,1,0,4.33,23,14,7,2,5,2,1,53,0.008,0.78,0.00,0.36,0.1,4,901
10,D.Cease,San Diego Padres,Tampa Bay Rays,0, 5 ,2,3,3,3,4,0,3.62,84,50,30,11,9,5,8,52,0.016,1.14,0.01,1.24,0.6,15,901
11,R.Pepiot,Tampa Bay Rays,San Diego Padres,1, 3 ,4,3,3,4,4,1,3.76,89,54,30,12,12,1,8,39,-0.155,1.15,-0.03,0.31,-1.5,9,901
12,S.Manaea,New York Mets,Chicago White Sox,0, 7 ,2,0,0,2,5,0,3.35,96,60,29,9,22,4,12,76,0.485,1.18,0.33,1.35,3.4,21,901
13,G.Crochet,Chicago White Sox,New York Mets,1, 3.1,3,1,1,0,8,1,3.61,57,42,26,8,8,3,2,58,-0.044,0.84,0.00,0.00,-0.2,10,901
14,A.Marsh,Kansas City Royals,Houston Astros,0, 5 ,4,3,3,1,5,2,4.70,73,47,25,9,13,7,6,51,-0.115,0.63,-0.14,1.25,-0.6,15,901
15,R.Blanco,Houston Astros,Kansas City Royals,1, 5 ,3,0,0,4,3,0,3.03,101,60,39,7,14,7,7,60,0.256,1.03,0.24,1.61,2.4,15,901
16,Y.Rodriguez,Toronto Blue Jays,Minnesota Twins,0, 3 ,3,0,0,2,3,0,4.61,57,33,19,4,10,3,5,54,0.164,1.28,0.01,0.10,1.5,9,901
17,B.Ober,Minnesota Twins,Toronto Blue Jays,1, 6 ,1,1,1,3,8,1,3.95,94,62,33,12,17,3,9,71,0.196,0.88,0.18,1.36,2.0,18,901
18,M.Spence,Oakland Athletics,Texas Rangers,0, 5 ,5,2,2,3,5,0,4.50,87,47,31,9,7,7,6,51,-0.007,0.95,0.00,0.00,0.4,15,901
19,W.Pennington,Texas Rangers,Oakland Athletics,1, 1.1,1,0,0,1,1,0,2.61,20,12,7,3,2,1,3,52,0.044,0.85,0.00,0.02,0.5,4,901
20,Z.Eflin,Baltimore Orioles,Colorado Rockies,0, 7 ,4,1,1,1,9,0,3.60,85,63,35,16,12,8,7,73,0.263,0.59,0.21,0.80,2.8,21,901
21,T.Blach,Colorado Rockies,Baltimore Orioles,1, 4 ,5,5,5,2,1,1,6.65,63,37,20,3,14,6,9,31,-0.229,0.98,0.00,0.00,-2.8,12,901
22,D.McCaughan,Miami Marlins,San Francisco Giants,0, 4 ,5,4,3,1,2,1,8.24,72,45,28,4,13,7,7,39,-0.191,0.99,0.00,0.00,-1.1,12,901
23,L.Webb,San Francisco Giants,Miami Marlins,1, 6 ,8,6,6,0,4,1,3.43,90,64,39,7,18,18,4,36,-0.564,1.20,-0.06,0.20,-3.1,18,901
24,B.Miller,Seattle Mariners,Los Angeles Angels,0, 4.2,4,3,3,3,4,1,3.30,91,53,25,11,17,2,12,45,-0.149,1.16,-0.07,0.86,-0.7,14,901
25,C.Dana,Los Angeles Angels,Seattle Mariners,1, 6 ,2,2,2,4,4,1,3.00,95,54,27,12,15,6,9,60,0.115,0.99,0.00,0.00,1.0,18,901
26,J.Wrobleski,Los Angeles Dodgers,Arizona Diamondbacks,0, 5.1,10,10,10,2,2,2,6.82,99,58,36,4,18,11,14,8,-0.385,0.43,-0.29,0.53,-7.5,16,901
27,B.Pfaadt,Arizona Diamondbacks,Los Angeles Dodgers,1, 5.2,8,3,3,2,10,0,4.32,98,65,34,16,15,7,8,49,0.103,0.55,0.08,0.71,-0.2,17,901
28,S.Schwellenbach,Atlanta Braves,Philadelphia Phillies,0, 5.2,5,2,2,1,2,0,3.69,82,57,40,6,11,7,12,52,-0.006,1.12,-0.01,1.53,0.7,17,901
29,A.Nola,Philadelphia Phillies,Atlanta Braves,1, 6 ,4,2,2,1,9,1,3.29,100,63,30,20,13,5,8,64,0.048,0.74,0.04,1.16,1.1,18,901
