Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
F.Valdez o5.5 strikeouts,Rotowire,Houston Astros,F.Valdez,Kansas City Royals,1.0,0.4782608695652174,0,0.8,1,0.7,1,100.0,0.75,1.5,0.75
J.Gray u5.5 Ks,Markus_Markets,Texas Rangers,J.Gray,Oakland Athletics,1.0,0.7222222222222222,1,1.0,1,1.0,1,-150.0,1.0,1.6666666666666663,0.6666666666666665
J.Gray u5.5 Ks,PropBetGuy,Texas Rangers,J.Gray,Oakland Athletics,1.0,0.7222222222222222,1,1.0,1,1.0,1,-150.0,1.5,2.5,1.0
C.Kershaw o3.5 strikeouts,Rotowire,Los Angeles Dodgers,C.Kershaw,Arizona Diamondbacks,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100.0,0.75,1.5,0.75
R.Lopez o5.5 strikeouts,Rotowire Prizepicks,Atlanta Braves,R.Lopez,Philadelphia Phillies,0.0,0.5714285714285714,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5
S.Imanaga o5.5 strikeouts,Rotowire Prizepicks,Chicago Cubs,S.Imanaga,Washington Nationals,0.0,0.625,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5
J.Cannon o3.5 strikeouts,Rotowire,Chicago White Sox,J.Cannon,New York Mets,1.0,0.6,1,0.8,1,0.5,0,100.0,0.75,1.5,0.75
M.Stroman u3.5 Ks,sirlockselot_,New York Yankees,M.Stroman,St Louis Cardinals,1.0,0.48,0,0.6,1,0.5,0,120.0,2.0,4.4,2.4000000000000004
F.Valdez u6.5 Ks,JBBets1,Houston Astros,F.Valdez,Kansas City Royals,1.0,0.6086956521739131,1,0.2,0,0.4,0,-125.0,1.0,1.8,0.8
T.Megill o5.5 strikeouts,Rotowire Prizepicks,New York Mets,T.Megill,Chicago White Sox,0.0,0.5555555555555556,1,0.6,1,0.5555555555555556,1,100.0,1.5,3.0,1.5
C.Kershaw o4.5 strikeouts,Rotowire,Los Angeles Dodgers,C.Kershaw,Arizona Diamondbacks,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,100.0,0.75,1.5,0.75
A.Suarez o4.5 strikeouts,Rotowire Prizepicks,Baltimore Orioles,A.Suarez,Colorado Rockies,0.0,0.3888888888888889,0,0.6,1,0.4,0,100.0,1.5,3.0,1.5
A.Oller u3.5 strikeouts,Rotowire,Miami Marlins,A.Oller,San Francisco Giants,0.0,0.5,0,0.5,0,0.5,0,100.0,0.75,1.5,0.75
