,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,T.Rogers u4.5 Ks,SBK5065,-119,0.6,T.Rogers,1.104201680672269,0.504201680672269,Miami Marlins,Cleveland Guardians,1.0,0.6666666666666666,1,0.8,1,0.7,1
3,T.Rogers u4.5 Ks,cowhitchurch,-125,0.63,T.Rogers,1.134,0.5040000000000001,Miami Marlins,Cleveland Guardians,1.0,0.6666666666666666,1,0.8,1,0.7,1
4,T.Rogers u4.5 Ks,The_Oddsmaker,-125,1.25,T.Rogers,2.25,1.0,Miami Marlins,Cleveland Guardians,1.0,0.6666666666666666,1,0.8,1,0.7,1
7,B.Ober o5.5 Ks,charliedisturco,-106,0.53,B.Ober,1.03,0.5,Minnesota Twins,Pittsburgh Pirates,0.0,0.4166666666666667,0,0.2,0,0.4,0
8,J.Jones u6.5 Ks,SBK5065,-145,0.69,J.Jones,1.1658620689655173,0.4758620689655173,Pittsburgh Pirates,Minnesota Twins,1.0,0.4166666666666667,0,0.8,1,0.5,0
10,N.Eovaldi o5.5 Ks,PropBetGuy,-110,1.1,N.Eovaldi,2.1,1.0,Texas Rangers,San Francisco Giants,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1
13,S.Imanaga u6.5 Ks,cowhitchurch,-145,0.73,S.Imanaga,1.233448275862069,0.5034482758620691,Chicago Cubs,Cincinnati Reds,0.0,0.4545454545454545,0,0.4,0,0.5,0
15,Z.Littell o4.5 Ks,charliedisturco,104,0.5,Z.Littell,1.02,0.52,Tampa Bay Rays,Baltimore Orioles,1.0,0.6666666666666666,1,0.4,0,0.6,1
19,L.Gil u6.5 strikeouts,Rotowire,100,0.75,L.Gil,1.5,0.75,New York Yankees,Los Angeles Dodgers,1.0,0.5833333333333334,1,0.4,0,0.6,1
20,T.Glasnow o7.5 strikeouts,Rotowire,100,0.75,T.Glasnow,1.5,0.75,Los Angeles Dodgers,New York Yankees,0.0,0.6666666666666666,1,0.8,1,0.8,1
33,G.Kirby u4.5 Ks,AnthonyDabbundo,125,1.25,G.Kirby,2.8125,1.5625,Seattle Mariners,Kansas City Royals,0.0,0.4615384615384615,0,0.4,0,0.4,0
