,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
7,D.Schneider o0.5 HR,Thespinzone,500,0.15,0.8999999999999999,0.7499999999999999,D.Schneider,Toronto Blue Jays,Washington Nationals,1.0,0.6,1.0,0.8,1.0,0.6,1.0
8,A.Judge o0.5 HR,Thespinzone,275,0.1,0.375,0.275,A.Judge,New York Yankees,Detroit Tigers,0.0,,,,,,
25,D.Schneider o0.5 HR,Thespinzone,500,0.15,0.8999999999999999,0.7499999999999999,D.Schneider,Toronto Blue Jays,Washington Nationals,1.0,,,,,,
