,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,H.Birdsong u5.5 Ks,PropBetGuy,-130,1.3,H.Birdsong,2.3,0.9999999999999998,San Francisco Giants,Minnesota Twins,1.0,1.0,1,1.0,1,1.0,1
5,J.Berrios u4.5 Ks,kylemurray03,-135,1.35,J.Berrios,2.35,1.0,Toronto Blue Jays,Arizona Diamondbacks,0.0,0.4736842105263157,0,0.6,1,0.5,0
6,Y.Diaz u4.5 Ks,kylemurray03,-140,1.4,Y.Diaz,2.4,1.0,Arizona Diamondbacks,Toronto Blue Jays,1.0,0.0,0,0.0,0,0.0,0
7,A.Abbott u5.5 Ks,kylemurray03,-122,1.22,A.Abbott,2.22,1.0000000000000002,Cincinnati Reds,Miami Marlins,1.0,0.6666666666666666,1,0.6,1,0.7,1
9,M.Parker u5.5 Ks,kylemurray03,-163,1.63,M.Parker,2.63,1.0,Washington Nationals,Milwaukee Brewers,0.0,0.6875,1,0.6,1,0.6,1
10,R.Feltner u4.5 Ks,kylemurray03,-122,1.22,R.Feltner,2.22,1.0000000000000002,Colorado Rockies,New York Mets,0.0,0.6111111111111112,1,0.4,0,0.5,0
14,K.Crawford o4.5 strikeouts,Rotowire,100,0.75,K.Crawford,1.5,0.75,Boston Red Sox,Kansas City Royals,1.0,0.8333333333333334,1,0.8,1,0.8,1
17,D.Keuchel u3.5 strikeouts,Rotowire,100,0.75,D.Keuchel,1.5,0.75,Milwaukee Brewers,Washington Nationals,1.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
21,N.Eovaldi u5.5 strikeouts,Rotowire Prizepicks,100,1.5,N.Eovaldi,3.0,1.5,Texas Rangers,Houston Astros,0.0,0.4,0,0.4,0,0.4,0
23,R.Feltner u4.5 strikeouts,Rotowire Prizepicks,100,1.5,R.Feltner,3.0,1.5,Colorado Rockies,New York Mets,0.0,0.6111111111111112,1,0.4,0,0.5,0
8,D.Keuchel o3.5 strikeouts,Rotowire Prizepicks,100,1.5,D.Keuchel,3.0,1.5,Milwaukee Brewers,Washington Nationals,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
