Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,N.Lodolo u1.5 Earned Runs,kylemurray03,125,1.0,N.Lodolo,2.25,1.25,Cincinnati Reds,Miami Marlins,0.0,0.3529411764705882,0,0.0,0,0.2,0
0,M.Meyer o1.5 Earned Runs,SBK5065,-167,1.0,M.Meyer,1.598802395209581,0.5988023952095807,Miami Marlins,Cincinnati Reds,1.0,0.6,1,0.6,1,0.6,1
0,M.Gore u6.5 Ks,MrTuttle05,-115,1.15,M.Gore,2.1499999999999995,0.9999999999999996,Washington Nationals,San Francisco Giants,1.0,0.5909090909090909,1,1.0,1,0.6,1
1,K.Montero u5.5 Ks,kylemurray03,-150,1.5,K.Montero,2.5,1.0,Detroit Tigers,Seattle Mariners,0.0,1.0,1,1.0,1,1.0,1
2,J.Springs u4.5 Ks,kylemurray03,-145,1.45,J.Springs,2.45,1.0000000000000002,Tampa Bay Rays,St Louis Cardinals,0.0,1.0,1,1.0,1,1.0,1
3,H.Birdsong o4.5 strikeouts,Rotowire,100,0.75,H.Birdsong,1.5,0.75,San Francisco Giants,Washington Nationals,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1
4,K.Montero u5.5 strikeouts,Rotowire,100,0.75,K.Montero,1.5,0.75,Detroit Tigers,Seattle Mariners,0.0,1.0,1,1.0,1,1.0,1
5,M.Gore u6.5 strikeouts,Rotowire Prizepicks,100,1.5,M.Gore,3.0,1.5,Washington Nationals,San Francisco Giants,1.0,0.5909090909090909,1,1.0,1,0.6,1
0,C.Bassitt u17.5 Outs,PropBetGuy,108,1.0,C.Bassitt,2.08,1.08,Toronto Blue Jays,Baltimore Orioles,1.0,0.5454545454545454,1,0.8,1,0.5,0
1,C.Sanchez u17.5 Outs,PropBetGuy,129,1.0,C.Sanchez,2.29,1.29,Philadelphia Phillies,Los Angeles Dodgers,0.0,0.4761904761904761,0,0.6,1,0.4,0
2,R.Stripling u17.5 Outs,MrTuttle05,105,1.0,R.Stripling,2.05,1.0499999999999998,Oakland Athletics,Chicago White Sox,1.0,0.7692307692307693,1,1.0,1,0.9,1
0,R.Devers o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,R.Devers,3.0,1.5,Boston Red Sox,Kansas City Royals,0.0,0.6161616161616161,1,1.0,1,1.0,1
0,T.Walls u1.5 total bases,Rotowire,100,0.75,T.Walls,1.5,0.75,Tampa Bay Rays,St Louis Cardinals,0.0,0.8974358974358975,1,1.0,1,1.0,1
