Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,M.Keller o5.5 Hits Allowed,Colby Conway,-110,1.0,1.9090909090909092,0.9090909090909092,M.Keller,Pittsburgh Pirates,Minnesota Twins,0.0,,,,,,
0,L.Webb u4.5 strikeouts,Chris Landers,115,1.0,2.15,1.15,L.Webb,San Francisco Giants,Atlanta Braves,0.0,,,,,,
1,C.Silseth o5.5 Strikeouts,Colby Conway,-110,1.0,1.9090909090909092,0.9090909090909092,C.Silseth,Los Angeles Angels,Tampa Bay Rays,1.0,,,,,,
2,K.Waldichuk u5.5 Ks,charliedisturco,-120,0.6,1.1,0.5000000000000001,K.Waldichuk,Oakland Athletics,Baltimore Orioles,1.0,,,,,,
3,T.Bibee u6.5 Ks,PropBetGuy,112,1.0,2.12,1.12,T.Bibee,Cleveland Guardians,Detroit Tigers,1.0,,,,,,
4,J.Steele u6.5 Ks,PropBetGuy,-126,1.26,2.26,0.9999999999999998,J.Steele,Chicago Cubs,Kansas City Royals,1.0,,,,,,
0,C.Yelich o0.5 Runs Scored,Thespinzone,100,0.1,0.2,0.1,C.Yelich,Milwaukee Brewers,Texas Rangers,0.0,0.5206611570247934,1,0.6,1,0.8,1
0,J.Rodriguez o0.5 RBI,Thespinzone,195,0.1,0.295,0.195,J.Rodriguez,Seattle Mariners,Houston Astros,0.0,0.3583333333333333,0,0.6,1,0.3,0
1,T.Hernandez o0.5 RBI,Thespinzone,163,0.1,0.263,0.163,T.Hernandez,Seattle Mariners,Houston Astros,0.0,0.4016393442622951,0,0.6,1,0.8,1
2,S.Garrett o0.5 RBI,Thespinzone,148,0.1,0.248,0.148,S.Garrett,Washington Nationals,Philadelphia Phillies,1.0,0.3023255813953488,0,0.8,1,0.9,1
3,J.Soler o0.5 RBI,Thespinzone,165,0.1,0.265,0.165,J.Soler,Miami Marlins,Los Angeles Dodgers,0.0,0.3781512605042016,0,0.8,1,0.9,1
4,R.Devers o0.5 RBI,Thespinzone,165,0.17,0.4505,0.2804999999999999,R.Devers,Boston Red Sox,New York Yankees,0.0,0.4224137931034483,0,0.4,0,0.2,0
