,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,S.Steer o0.5 RBI,Thespinzone,100,0.11,0.22,0.11,S.Steer,Cincinnati Reds,Washington Nationals,1.0,0.4056603773584906,0.0,0.8,1.0,0.7,1.0
4,A.Bohm o0.5 RBI,Thespinzone,180,0.1,0.2799999999999999,0.1799999999999999,A.Bohm,Philadelphia Phillies,Kansas City Royals,1.0,0.40625,0.0,0.6,1.0,0.4,0.0
7,Y.Gomes o0.5 RBI,Thespinzone,200,0.1,0.3,0.2,Y.Gomes,Chicago Cubs,Atlanta Braves,1.0,0.4189189189189189,0.0,0.8,1.0,0.6,1.0
8,M.Olson o0.5 RBI,Thespinzone,114,0.11,0.2353999999999999,0.1253999999999999,M.Olson,Atlanta Braves,Chicago Cubs,0.0,0.4622641509433962,0.0,1.0,1.0,0.6,1.0
11,R.Mountcastle o0.5 RBI,Thespinzone,160,0.1,0.26,0.16,R.Mountcastle,Baltimore Orioles,New York Mets,1.0,0.3333333333333333,0.0,0.8,1.0,0.5,0.0
15,C.Seager o0.5 RBI,Thespinzone,175,0.18,0.495,0.315,C.Seager,Texas Rangers,Miami Marlins,1.0,0.4852941176470588,0.0,0.6,1.0,0.4,0.0
6,S.Steer o0.5 RBI,Thespinzone,100,0.11,0.22,0.11,S.Steer,Cincinnati Reds,Washington Nationals,1.0,,,,,,
11,A.Bohm o0.5 RBI,Thespinzone,180,0.1,0.2799999999999999,0.1799999999999999,A.Bohm,Philadelphia Phillies,Kansas City Royals,1.0,,,,,,
19,Y.Gomes o0.5 RBI,Thespinzone,200,0.1,0.3,0.2,Y.Gomes,Chicago Cubs,Atlanta Braves,1.0,,,,,,
20,M.Olson o0.5 RBI,Thespinzone,114,0.11,0.2353999999999999,0.1253999999999999,M.Olson,Atlanta Braves,Chicago Cubs,0.0,,,,,,
23,R.Mountcastle o0.5 RBI,Thespinzone,160,0.1,0.26,0.16,R.Mountcastle,Baltimore Orioles,New York Mets,1.0,,,,,,
24,F.Alvarez o0.5 RBI,Thespinzone,195,0.1,0.295,0.195,F.Alvarez,New York Mets,Baltimore Orioles,0.0,,,,,,
30,C.Seager o0.5 RBI,Thespinzone,175,0.18,0.495,0.315,C.Seager,Texas Rangers,Miami Marlins,1.0,,,,,,
32,J.Soler o0.5 RBI,Thespinzone,145,0.1,0.245,0.145,J.Soler,Miami Marlins,Texas Rangers,0.0,,,,,,
