,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,R.Mountcastle o1.5 Total Bases,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,R.Mountcastle,Baltimore Orioles,New York Mets,1.0,0.4230769230769231,0.0,1.0,1.0,0.7,1.0
18,Y.Alvarez o1.5 Total Bases,charliedisturco,-115,0.5,0.934782608695652,0.4347826086956521,Y.Alvarez,Houston Astros,New York Yankees,0.0,0.5,0.0,0.6,1.0,0.5,0.0
2,R.Mountcastle o1.5 Total Bases,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,R.Mountcastle,Baltimore Orioles,New York Mets,1.0,,,,,,
8,M.McLain o1.5 Total Bases,charliedisturco,100,0.5,1.0,0.5,M.McLain,Cincinnati Reds,Washington Nationals,1.0,,,,,,
15,B.Stott o1.5 Total Bases,charliedisturco,145,0.73,1.7885,1.0585,B.Stott,Philadelphia Phillies,Kansas City Royals,1.0,,,,,,
42,Y.Alvarez o1.5 Total Bases,charliedisturco,-115,0.5,0.934782608695652,0.4347826086956521,Y.Alvarez,Houston Astros,New York Yankees,0.0,,,,,,
