,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
11,R.Arozarena o0.5 Runs Scored,Thespinzone,107,0.15,R.Arozarena,0.3105,0.1605,Tampa Bay Rays,Texas Rangers,1.0
2,G.Torres o0.5 Runs Scored,Thespinzone,115,0.11,G.Torres,0.2365,0.1265,New York Yankees,Boston Red Sox,1.0
4,M.Yoshida o0.5 Runs Scored,Thespinzone,125,0.11,M.Yoshida,0.2475,0.1375,Boston Red Sox,New York Yankees,0.0
5,P.Goldschmidt o0.5 Runs Scored,Thespinzone,102,0.15,P.Goldschmidt,0.303,0.153,St. Louis Cardinals,Cincinnati Reds,1.0
18,M.Conforto o0.5 Runs Scored,Thespinzone,120,0.12,M.Conforto,0.264,0.144,San Francisco Giants,Chicago Cubs,1.0
