,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,R.Arozarena o1.5 Total Bases,charliedisturco,130,0.5,R.Arozarena,1.15,0.6499999999999999,Tampa Bay Rays,Texas Rangers,1.0
1,M.Yoshida o1.5 total bases,Chris Landers,130,1.0,M.Yoshida,2.3,,Boston Red Sox,New York Yankees,0.0
2,J.Naylor o1.5 total bases,Colby Conway,-110,1.0,J.Naylor,1.9090909090909087,,Cleveland Guardians,Houston Astros,1.0
