,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,K.Gausman o6.5 Ks,PropBetGuy,106,1.0,K.Gausman,2.06,1.06,Toronto Blue Jays,Boston Red Sox,0.0
1,K.Gausman o5.5 strikeouts,Teddy Ricketson,-145,1.0,K.Gausman,1.6896551724137931,0.6896551724137931,Toronto Blue Jays,Boston Red Sox,0.0
