,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,T.Estrada o0.5 Runs Scored,Thespinzone,135,0.14,T.Estrada,0.329,0.189,San Francisco Giants,St. Louis Cardinals,0.0
17,L.Thomas o0.5 Runs Scored,Thespinzone,130,0.11,L.Thomas,0.253,0.143,Washington Nationals,Houston Astros,0.0
37,C.Yelich o0.5 Runs Scored,Thespinzone,-103,0.11,C.Yelich,0.2167961165048543,0.1067961165048543,Milwaukee Brewers,Minnesota Twins,0.0
38,E.Julien o0.5 Runs Scored,Thespinzone,100,0.11,E.Julien,0.22,0.11,Minnesota Twins,Milwaukee Brewers,1.0
