,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,P.Bailey o0.5 RBI,Thespinzone,188,0.19,P.Bailey,0.5472,0.3572,San Francisco Giants,St. Louis Cardinals,0.0,0.4736842105263157,0.0,0.6,1.0,0.4,0.0
6,F.Alvarez o0.5 RBI,Thespinzone,215,0.08,F.Alvarez,0.252,0.172,New York Mets,New York Yankees,1.0,0.2888888888888888,0.0,0.6,1.0,0.4,0.0
9,S.Garrett o0.5 RBI,Thespinzone,225,0.08,S.Garrett,0.26,0.18,Washington Nationals,Houston Astros,0.0,0.1891891891891892,0.0,0.4,0.0,0.3,0.0
14,C.Seager o0.5 RBI,Thespinzone,135,0.15,C.Seager,0.3525,0.2024999999999999,Texas Rangers,Los Angeles Angels,1.0,0.5142857142857142,1.0,0.6,1.0,0.5,0.0
1,P.Bailey o0.5 RBI,Thespinzone,188,0.19,P.Bailey,0.5472,0.3572,San Francisco Giants,St. Louis Cardinals,0.0,,,,,,
3,N.Arenado o0.5 RBI,Thespinzone,135,0.11,N.Arenado,0.2585,0.1485,St. Louis Cardinals,San Francisco Giants,1.0,,,,,,
11,F.Alvarez o0.5 RBI,Thespinzone,215,0.08,F.Alvarez,0.252,0.172,New York Mets,New York Yankees,1.0,,,,,,
13,S.Perez o0.5 RBI,Thespinzone,135,0.1,S.Perez,0.235,0.135,Kansas City Royals,Cincinnati Reds,1.0,,,,,,
20,N.Jones o0.5 RBI,Thespinzone,185,0.1,N.Jones,0.285,0.185,Colorado Rockies,Boston Red Sox,0.0,,,,,,
29,C.Seager o0.5 RBI,Thespinzone,135,0.15,C.Seager,0.3525,0.2024999999999999,Texas Rangers,Los Angeles Angels,1.0,,,,,,
