,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,T.Houck o5.5 Ks,kylemurray03,-136,1.45,T.Houck,2.5161764705882352,1.0661764705882353,Boston Red Sox,Detroit Tigers,1.0,0.5454545454545454,1,0.4,0,0.5,0
2,P.Corbin u3.5 Ks,GreenDotDaily,-111,1.0,P.Corbin,1.900900900900901,0.900900900900901,Washington Nationals,Cleveland Guardians,0.0,0.5454545454545454,1,0.6,1,0.5,0
3,T.Bibee u6.5 Ks,GreenDotDaily,-145,1.0,T.Bibee,1.6896551724137931,0.6896551724137931,Cleveland Guardians,Washington Nationals,1.0,0.6363636363636364,1,0.8,1,0.6,1
5,P.Corbin u3.5 Ks,The_Oddsmaker,-111,1.11,P.Corbin,2.1100000000000003,1.0000000000000002,Washington Nationals,Cleveland Guardians,0.0,0.5454545454545454,1,0.6,1,0.5,0
6,T.Bibee u6.5 Ks,The_Oddsmaker,-145,1.45,T.Bibee,2.45,1.0000000000000002,Cleveland Guardians,Washington Nationals,1.0,0.6363636363636364,1,0.8,1,0.6,1
7,T.Bibee u6.5 Ks,SBK5065,-140,1.4,T.Bibee,2.4,1.0,Cleveland Guardians,Washington Nationals,1.0,0.6363636363636364,1,0.8,1,0.6,1
8,T.Bibee u5.5 Ks,cowhitchurch,123,0.5,T.Bibee,1.115,0.615,Cleveland Guardians,Washington Nationals,1.0,0.5454545454545454,1,0.6,1,0.5,0
9,T.Bibee u6.5 Ks,cowhitchurch,-166,1.24,T.Bibee,1.9869879518072289,0.7469879518072289,Cleveland Guardians,Washington Nationals,1.0,0.6363636363636364,1,0.8,1,0.6,1
10,R.Lopez o5.5 Ks,SBK5065,-110,1.0,R.Lopez,1.9090909090909087,0.9090909090909092,Atlanta Braves,Oakland Athletics,1.0,0.4444444444444444,0,0.2,0,0.4444444444444444,0
11,R.Lopez o5.5 Ks,kylemurray03,125,1.0,R.Lopez,2.25,1.25,Atlanta Braves,Oakland Athletics,1.0,0.4444444444444444,0,0.2,0,0.4444444444444444,0
