,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
6,C.Bassitt u5.5 Ks,Thespinzone,124,0.09,C.Bassitt,0.2016,0.1116,Toronto Blue Jays,Minnesota Twins,0.0
17,J.Gray o4.5 Ks,PropBetGuy,-122,1.22,J.Gray,2.22,1.0000000000000002,Washington Nationals,Kansas City Royals,0.0
24,J.Scholtens u3.5 Ks,Thespinzone,126,0.13,J.Scholtens,0.2938,0.1638,Chicago White Sox,Detroit Tigers,0.0
32,C.Kershaw u6.5 strikeouts,Colby Conway,-110,1.0,C.Kershaw,1.9090909090909087,0.9090909090909088,Los Angeles Dodgers,Tampa Bay Rays,0.0
33,E.Cabrera u6.5 strikeouts,Colby Conway,-110,1.0,E.Cabrera,1.9090909090909087,0.9090909090909088,Miami Marlins,Los Angeles Angels,0.0
