,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,N.Lowe o0.5 Runs Scored,Thespinzone,125,0.08,N.Lowe,0.18,0.0999999999999999,Texas Rangers,Baltimore Orioles,0.0,0.56,1.0,1.0,1.0,0.8,1.0
1,M.Semien o0.5 Runs Scored,Thespinzone,-105,0.1,M.Semien,0.1952380952380952,0.0952380952380952,Texas Rangers,Baltimore Orioles,0.0,0.66,1.0,0.8,1.0,0.8,1.0
2,T.Turner o0.5 Runs Scored,Thespinzone,110,0.08,T.Turner,0.168,0.088,Philadelphia Phillies,Atlanta Braves,0.0,0.36,0.0,0.4,0.0,0.2,0.0
3,B.Harper o0.5 Runs Scored,Thespinzone,100,0.08,B.Harper,0.16,0.08,Philadelphia Phillies,Atlanta Braves,0.0,0.6666666666666666,1.0,0.6,1.0,0.5,0.0
7,X.Edwards o0.5 Runs Scored,Thespinzone,250,0.05,X.Edwards,0.175,0.1249999999999999,Miami Marlins,Los Angeles Angels,0.0,0.5,0.0,0.6,1.0,0.5,0.0
8,J.India o0.5 Runs Scored,Thespinzone,148,0.11,J.India,0.2728,0.1628,Cincinnati Reds,Chicago Cubs,0.0,0.6274509803921569,1.0,0.6,1.0,0.7,1.0
1,N.Lowe o0.5 Runs Scored,Thespinzone,125,0.08,N.Lowe,0.18,0.0999999999999999,Texas Rangers,Baltimore Orioles,0.0,,,,,,
2,M.Semien o0.5 Runs Scored,Thespinzone,-105,0.1,M.Semien,0.1952380952380952,0.0952380952380952,Texas Rangers,Baltimore Orioles,0.0,,,,,,
13,T.Turner o0.5 Runs Scored,Thespinzone,110,0.08,T.Turner,0.168,0.088,Philadelphia Phillies,Atlanta Braves,0.0,,,,,,
14,B.Harper o0.5 Runs Scored,Thespinzone,100,0.08,B.Harper,0.16,0.08,Philadelphia Phillies,Atlanta Braves,0.0,,,,,,
26,C.Morel o0.5 Runs Scored,Thespinzone,140,0.08,C.Morel,0.192,0.112,Chicago Cubs,Cincinnati Reds,1.0,,,,,,
