,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,Z.Short o0.5 RBI,Thespinzone,260,0.2,0.7200000000000001,Detroit Tigers,Z.Short,Texas Rangers,1.0,0.52,Y,0.23809523809523808,0,0.6,1,0.4,0
1,M.Semien o0.5 RBI,Thespinzone,150,0.08,0.2,Texas Rangers,M.Semien,Detroit Tigers,0.0,0.12,N,0.5370370370370371,1,0.6,1,0.6,1
2,C.Seager o0.5 RBI,Thespinzone,140,0.08,0.192,Texas Rangers,C.Seager,Detroit Tigers,0.0,0.112,N,0.5217391304347826,1,0.6,1,0.7,1
3,Z.Short o0.5 HR,Thespinzone,650,0.04,0.3,Detroit Tigers,Z.Short,Texas Rangers,1.0,0.26,N,0.09523809523809523,0,0.2,0,0.1,0
4,J.Soto o0.5 Runs Scored,Thespinzone,110,0.08,0.168,San Diego Padres,J.Soto,Miami Marlins,0.0,0.088,Y,0.46296296296296297,0,0.6,1,0.7,1
5,J.Soler o0.5 HR,Thespinzone,290,0.05,0.195,Miami Marlins,J.Soler,San Diego Padres,1.0,0.145,N,0.22641509433962265,0,0.6,1,0.5,0
6,O.Arcia o0.5 Runs Scored,Thespinzone,155,0.08,0.204,Atlanta Braves,O.Arcia,Oakland Athletics,0.0,0.1239999999999999,N,0.38235294117647056,0,0.4,0,0.3,0
7,A.Riley o0.5 RBI,Thespinzone,135,0.08,0.188,Atlanta Braves,A.Riley,Oakland Athletics,0.0,0.108,N,0.36363636363636365,0,0.2,0,0.3,0
8,L.Raley o0.5 Runs Scored,Thespinzone,130,0.08,0.184,Tampa Bay Rays,L.Raley,Chicago Cubs,0.0,0.104,N,0.3409090909090909,0,0.4,0,0.5,0
9,J.Lowe o0.5 RBI,Thespinzone,185,0.08,0.228,Tampa Bay Rays,J.Lowe,Chicago Cubs,0.0,0.148,N,0.4782608695652174,0,0.4,0,0.4,0
10,R.Arozarena o0.5 RBI,Thespinzone,150,0.11,0.275,Tampa Bay Rays,R.Arozarena,Chicago Cubs,0.0,0.165,Y,0.42592592592592593,0,0.4,0,0.3,0
11,K.Hendricks o3.5 Ks,jimsannes,-125,1.2,2.16,Chicago Cubs,K.Hendricks,Tampa Bay Rays,1.0,0.9600000000000002,N,0.5,0,0.5,0,0.5,0
12,N.Castellanos o0.5 Runs Scored,Thespinzone,135,0.08,0.188,Philadelphia Phillies,N.Castellanos,New York Mets,0.0,0.108,N,0.5185185185185185,1,0.4,0,0.4,0
13,R.Lewis o0.5 HR,Thespinzone,700,0.04,0.32,Minnesota Twins,R.Lewis,Houston Astros,0.0,0.28,N,0.5,0,0.5,0,0.5,0
14,R.Lewis o0.5 RBI,Thespinzone,210,0.08,0.248,Minnesota Twins,R.Lewis,Houston Astros,0.0,0.1679999999999999,N,0.5,0,0.5,0,0.5,0
15,C.Walker o0.5 RBI,Thespinzone,115,0.08,0.172,Arizona Diamondbacks,C.Walker,Colorado Rockies,1.0,0.0919999999999999,N,0.40384615384615385,0,0.0,0,0.1,0
16,B.Doyle o0.5 Runs Scored,Thespinzone,170,0.08,0.216,Colorado Rockies,B.Doyle,Arizona Diamondbacks,0.0,0.136,N,0.32142857142857145,0,0.2,0,0.3,0
17,G.Henderson o0.5 Total Bases,charliedisturco,150,0.75,1.875,Baltimore Orioles,G.Henderson,Cleveland Guardians,1.0,1.125,Y,0.4897959183673469,0,0.4,0,0.5,0
18,G.Henderson o0.5 HR,charliedisturco,800,0.1,0.9,Baltimore Orioles,G.Henderson,Cleveland Guardians,1.0,0.8,N,0.08163265306122448,0,0.0,0,0.1,0
19,B.Lively o3.5 Ks,jimsannes,110,1.1,2.3100000000000005,Cincinnati Reds,B.Lively,Boston Red Sox,0.0,1.2100000000000004,Y,0.6,1,0.6,1,0.6,1
20,S.Perez o0.5 RBI,Thespinzone,155,0.08,0.204,Kansas City Royals,S.Perez,St. Louis Cardinals,0.0,0.1239999999999999,N,0.42,0,0.4,0,0.5,0
21,N.Gorman o0.5 RBI,Thespinzone,150,0.11,0.275,St. Louis Cardinals,N.Gorman,Kansas City Royals,1.0,0.165,Y,0.4117647058823529,0,0.2,0,0.3,0
22,J.Lowe o1.5 total bases,Chris Landers,130,1.0,2.3,Tampa Bay Rays,J.Lowe,Chicago Cubs,0.0,1.2999999999999998,N,0.34782608695652173,0,0.2,0,0.3,0
23,K.Marte o1.5 total bases,Dan Servodidio,-110,1.0,1.9090909090909087,Arizona Diamondbacks,K.Marte,Colorado Rockies,1.0,0.9090909090909088,Y,0.37254901960784315,0,0.6,1,0.5,0
24,F.Freeman o1.5 total bases,Dan Servodidio,-110,1.0,1.9090909090909087,Los Angeles Dodgers,F.Freeman,Washington Nationals,1.0,0.9090909090909088,Y,0.5,0,1.0,1,0.7,1
