,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,K.Senga o5.5 Ks,PropBetGuy,-143,1.43,2.43,New York Mets,K.Senga,San Francisco Giants,0.0,1.0000000000000002,N,0.75,1,0.75,1,0.75,1
1,G.Moreno o0.5 RBI,NicholaskMartin,215,0.5,1.575,Arizona Diamondbacks,G.Moreno,San Diego Padres,1.0,1.075,N,0.4666666666666667,0,0.6,1,0.6,1
2,J.Soto o0.5 RBI,NicholaskMartin,175,0.5,1.375,San Diego Padres,J.Soto,Arizona Diamondbacks,0.0,0.875,N,0.2857142857142857,0,0.4,0,0.3,0
3,R.Devers o1.5 Total Bases,charliedisturco,-110,0.5,0.9545454545454546,Boston Red Sox,R.Devers,Minnesota Twins,1.0,0.4545454545454546,Y,0.631578947368421,1,0.6,1,0.6,1
4,J.Gallo o0.5 HR,AnthonyDabbundo,450,0.5,2.75,Minnesota Twins,J.Gallo,Boston Red Sox,0.0,2.25,N,0.2222222222222222,0,0.2,0,0.2222222222222222,0
5,T.Larnach o0.5 HR,AnthonyDabbundo,1000,0.2,2.2,Minnesota Twins,T.Larnach,Boston Red Sox,0.0,2.0,N,0.05263157894736842,0,0.2,0,0.1,0
6,T.Houck o4.5 Ks,PropBetGuy,-125,1.0,1.8,Boston Red Sox,T.Houck,Minnesota Twins,1.0,0.8,Y,0.75,1,0.75,1,0.75,1
7,T.Houck o4.5 Ks,JoeDellera,-125,0.24,0.432,Boston Red Sox,T.Houck,Minnesota Twins,1.0,0.192,Y,0.75,1,0.75,1,0.75,1
8,M.Trout u0.5 Hits,_Collin1,130,0.5,1.15,Los Angeles Angels,M.Trout,New York Yankees,0.0,0.6499999999999999,N,0.2777777777777778,0,0.2,0,0.4,0
9,K.Senga o6.0 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,New York Mets,K.Senga,San Francisco Giants,0.0,0.9090909090909088,N,0.5,0,0.5,0,0.5,0
