,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,M.Machado o1.5 total bases,Henry Palattella,105,1.0,2.05,San Diego Padres,M.Machado,San Francisco Giants,0.0,1.0499999999999998,N,0.23728813559322035,0,0.2,0,0.2,0
1,B.Rooker u0.5 hits ,Henry Palattella,135,1.0,2.35,Oakland Athletics,B.Rooker,Cleveland Guardians,0.0,1.35,Y,0.4393939393939394,0,0.8,1,0.6,1
2,A.Wood u4.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909087,San Francisco Giants,A.Wood,San Diego Padres,1.0,0.9090909090909092,Y,0.7,1,0.6,1,0.7,1
3,B.Garrett o5.5 Ks,PropBetGuy,110,1.0,2.1,Miami Marlins,B.Garrett,Pittsburgh Pirates,1.0,1.1,Y,0.6,1,1.0,1,0.8,1
4,S.McClanahan u7.5 Ks,PropBetGuy,-131,1.31,2.31,Tampa Bay Rays,S.McClanahan,Kansas City Royals,1.0,1.0,Y,0.8125,1,1.0,1,0.9,1
5,T.Henry o3.5 Ks,The_Oddsmaker,-144,1.0,1.6944444444444444,Arizona Diamondbacks,T.Henry,Washington Nationals,0.0,0.6944444444444444,Y,0.4166666666666667,0,0.6,1,0.5,0
6,L.Thomas o0.5 Runs Scored,Thespinzone,100,0.15,0.3,Washington Nationals,L.Thomas,Arizona Diamondbacks,1.0,0.15,Y,0.5555555555555556,1,0.6,1,0.7,1
7,G.Perdomo o0.5 Runs Scored,Thespinzone,105,0.16,0.3279999999999999,Arizona Diamondbacks,G.Perdomo,Washington Nationals,0.0,0.1679999999999999,Y,0.4426229508196721,0,0.6,1,0.6,1
