,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,H.Brown o6.5 strikeouts,Chris Landers,-115,1.0,1.869565217391304,Houston Astros,H.Brown,Seattle Mariners,1.0,0.8695652173913042,N,0.3793103448275862,0,0.0,0,0.0,0
2,J.Rodriguez o1.5 Total Bases,Colby Conway,-110,1.0,1.9090909090909087,Seattle Mariners,J.Rodriguez,Houston Astros,0.0,0.9090909090909092,N,0.0,0,0.0,0,0.0,0
3,J.Lyles o5.5 Hits Allowed,Colby Conway,-110,1.0,1.9090909090909087,Kansas City Royals,J.Lyles,Chicago Cubs,0.0,0.9090909090909092,N,0.6551724137931034,1,0.8,1,0.8,1
4,R.McMahon o0.5 RBI,Thespinzone,155,0.1,0.255,Colorado Rockies,R.McMahon,Chicago White Sox,1.0,0.155,N,0.38333333333333336,0,0.6,1,0.8,1
5,N.Jones o0.5 RBI,Thespinzone,130,0.1,0.2299999999999999,Colorado Rockies,N.Jones,Chicago White Sox,1.0,0.1299999999999999,N,0.27941176470588236,0,0.6,1,0.3,0
6,N.Velazquez o0.5 Runs Scored,Thespinzone,175,0.1,0.275,Kansas City Royals,N.Velazquez,Chicago Cubs,0.0,0.175,Y,0.9090909090909091,1,0.8,1,0.9,1
7,N.Velazquez o0.5 HR,Thespinzone,650,0.1,0.75,Kansas City Royals,N.Velazquez,Chicago Cubs,0.0,0.65,N,0.0,0,0.0,0,0.0,0
8,C.Morel o0.5 RBI,Thespinzone,165,0.1,0.265,Chicago Cubs,C.Morel,Kansas City Royals,1.0,0.165,N,0.4146341463414634,0,0.4,0,0.2,0
9,M.Tauchman o0.5 RBI,Thespinzone,200,0.1,0.3,Chicago Cubs,M.Tauchman,Kansas City Royals,1.0,0.2,N,0.3466666666666667,0,0.0,0,0.0,0
10,R.Lewis o0.5 Runs Scored,Thespinzone,155,0.1,0.255,Minnesota Twins,R.Lewis,Pittsburgh Pirates,1.0,0.155,N,0.4864864864864865,0,0.4,0,0.7,1
11,J.Polanco o0.5 RBI,Thespinzone,160,0.1,0.26,Minnesota Twins,J.Polanco,Pittsburgh Pirates,1.0,0.16,N,0.28846153846153844,0,0.6,1,0.3,0
12,K.Hayes o1.5 Total Bases,charliedisturco,100,0.5,1.0,Pittsburgh Pirates,K.Hayes,Minnesota Twins,0.0,0.5,N,0.38461538461538464,0,0.4,0,0.7,1
13,K.Hayes o0.5 HR,charliedisturco,1000,0.1,1.1,Pittsburgh Pirates,K.Hayes,Minnesota Twins,0.0,1.0,N,0.054945054945054944,0,0.0,0,0.0,0
14,C.Joe o1.5 Total Bases,charliedisturco,140,0.5,1.2,Pittsburgh Pirates,C.Joe,Minnesota Twins,0.0,0.7,N,0.36538461538461536,0,0.4,0,0.7,1
15,C.Joe o0.5 HR,charliedisturco,900,0.1,1.0,Pittsburgh Pirates,C.Joe,Minnesota Twins,0.0,0.9,N,0.04807692307692308,0,0.0,0,0.0,0
16,R.Palacios o0.5 RBI,Thespinzone,185,0.1,0.285,St. Louis Cardinals,R.Palacios,New York Mets,1.0,0.185,Y,0.5,0,0.5,0,0.5,0
17,N.Arenado o0.5 RBI,Thespinzone,115,0.1,0.215,St. Louis Cardinals,N.Arenado,New York Mets,1.0,0.1149999999999999,N,0.44537815126050423,0,0.2,0,0.6,1
18,C.Yelich o0.5 Runs Scored,Thespinzone,105,0.1,0.205,Milwaukee Brewers,C.Yelich,Texas Rangers,0.0,0.1049999999999999,Y,0.5203252032520326,1,0.4,0,0.7,1
19,C.Seager o0.5 RBI,Thespinzone,120,0.1,0.22,Texas Rangers,C.Seager,Milwaukee Brewers,1.0,0.12,Y,0.5301204819277109,1,0.4,0,0.7,1
20,M.Garver o0.5 RBI,Thespinzone,150,0.1,0.25,Texas Rangers,M.Garver,Milwaukee Brewers,1.0,0.15,N,0.2962962962962963,0,0.2,0,0.1,0
21,J.Junis u3.5 Ks,charliedisturco,100,0.5,1.0,San Francisco Giants,J.Junis,Atlanta Braves,0.0,0.5,Y,0.631578947368421,1,0.2,0,0.3,0
