,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,H.Brown u5.5 Ks,kylemurray03,-135,1.35,H.Brown,2.35,1.0,Houston Astros,Texas Rangers,0.0,0.5,0,0.6,1,0.3,0
20,A.Pallante o3.5 Ks,kylemurray03,-146,1.46,A.Pallante,2.46,1.0,St Louis Cardinals,New York Mets,1.0,0.8,1,0.8,1,0.8,1
25,B.Singer u4.5 strikeouts,Rotowire,100,0.75,B.Singer,1.5,0.75,Kansas City Royals,Boston Red Sox,1.0,0.4545454545454545,0,0.4,0,0.5,0
27,P.Corbin u4.5 strikeouts,Rotowire,100,0.75,P.Corbin,1.5,0.75,Washington Nationals,San Francisco Giants,1.0,0.5909090909090909,1,0.4,0,0.4,0
30,A.Nola u5.5 strikeouts,Rotowire Prizepicks,100,1.5,A.Nola,3.0,1.5,Philadelphia Phillies,Los Angeles Dodgers,0.0,0.4761904761904761,0,0.4,0,0.4,0
34,A.Heaney u4.5 strikeouts,Rotowire Prizepicks,100,1.5,A.Heaney,3.0,1.5,Texas Rangers,Houston Astros,1.0,0.4285714285714285,0,0.6,1,0.5,0
2,T.Glasnow o7.5 Ks,kylemurray03,-105,1.05,T.Glasnow,2.05,0.9999999999999998,Los Angeles Dodgers,Philadelphia Phillies,1.0,0.6666666666666666,1,0.6,1,0.7,1
9,J.Sears u4.5 strikeouts,Rotowire,100,0.75,J.Sears,1.5,0.75,Oakland Athletics,Chicago White Sox,1.0,0.5238095238095238,1,0.2,0,0.4,0
11,J.Sears u4.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Sears,3.0,1.5,Oakland Athletics,Chicago White Sox,1.0,0.5238095238095238,1,0.2,0,0.4,0
13,D.Festa o5.5 strikeouts,Rotowire Prizepicks,100,1.5,D.Festa,3.0,1.5,Minnesota Twins,Chicago Cubs,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
