Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
J.Naylor o1.5 Total Bases,moneybadger24_,Cleveland Guardians,J.Naylor,Kansas City Royals,0.0,0.4186046511627907,0,1.0,1,0.6,1,120,1.0,2.2,1.2000000000000002
S.Ohtani o1.5 Total Bases,theprophunter0_,Los Angeles Dodgers,S.Ohtani,Los Angeles Angels,0.0,0.556390977443609,1,0.6,1,0.7,1,-110,1.1,2.1,1.0
