,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,M.McLain o0.5 Runs Scored,Thespinzone,-110,0.15,0.2863636363636364,0.1363636363636363,M.McLain,Cincinnati Reds,Washington Nationals,0,,,,,,
5,G.Torres o0.5 Runs Scored,Thespinzone,108,0.11,0.2288,0.1188,G.Torres,New York Yankees,Baltimore Orioles,1,,,,,,
13,J.Turner o0.5 Runs Scored,Thespinzone,110,0.1,0.21,0.11,J.Turner,Boston Red Sox,Texas Rangers,1,,,,,,
19,L.Raley o0.5 Runs Scored,Thespinzone,115,0.1,0.215,0.1149999999999999,L.Raley,Tampa Bay Rays,Philadelphia Phillies,1,,,,,,
32,M.Dubon o0.5 Runs Scored,Thespinzone,-110,0.11,0.21,0.1,M.Dubon,Houston Astros,Colorado Rockies,1,,,,,,
1,M.McLain o0.5 Runs Scored,Thespinzone,-110,0.15,0.2863636363636364,0.1363636363636363,M.McLain,Cincinnati Reds,Washington Nationals,0,0.5555555555555556,1.0,0.6,1.0,0.7,1.0
2,G.Torres o0.5 Runs Scored,Thespinzone,108,0.11,0.2288,0.1188,G.Torres,New York Yankees,Baltimore Orioles,1,0.4470588235294118,0.0,0.2,0.0,0.3,0.0
3,J.Turner o0.5 Runs Scored,Thespinzone,110,0.1,0.21,0.11,J.Turner,Boston Red Sox,Texas Rangers,1,0.4756097560975609,0.0,0.6,1.0,0.5,0.0
6,L.Raley o0.5 Runs Scored,Thespinzone,115,0.1,0.215,0.1149999999999999,L.Raley,Tampa Bay Rays,Philadelphia Phillies,1,0.4696969696969697,0.0,0.8,1.0,0.7,1.0
11,M.Dubon o0.5 Runs Scored,Thespinzone,-110,0.11,0.21,0.1,M.Dubon,Houston Astros,Colorado Rockies,1,0.5671641791044776,1.0,0.8,1.0,0.9,1.0
