,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,L.Castillo u6.5 Ks,cowhitchurch,120,0.5,L.Castillo,1.1,0.6000000000000001,Seattle Mariners,Chicago Cubs,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
1,L.Castillo u6.5 Ks,AnthonyDabbundo,116,1.0,L.Castillo,2.16,1.16,Seattle Mariners,Chicago Cubs,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
2,Z.Gallen u6.5 Ks,MrTuttle05,-150,1.5,Z.Gallen,2.5,1.0,Arizona Diamondbacks,St Louis Cardinals,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
3,Z.Wheeler u7.5 Ks,AnthonyDabbundo,-145,1.45,Z.Wheeler,2.45,1.0000000000000002,Philadelphia Phillies,Pittsburgh Pirates,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
4,N.Cortes u5.5 Ks,SBK5065,-145,1.0,N.Cortes,1.6896551724137931,0.6896551724137931,New York Yankees,Cleveland Guardians,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
5,T.Anderson u5.5 Ks,PropBetGuy,-115,1.15,T.Anderson,2.1499999999999995,0.9999999999999996,Los Angeles Angels,Boston Red Sox,0.0,1.0,1,1.0,1,1.0,1
6,K.Freeland o2.5 Ks,cowhitchurch,-130,0.65,K.Freeland,1.15,0.4999999999999999,Colorado Rockies,Toronto Blue Jays,0.0,0.0,0,0.0,0,0.0,0
7,B.Snell u7.5 Ks,cowhitchurch,-165,0.83,B.Snell,1.3330303030303028,0.5030303030303028,San Francisco Giants,Tampa Bay Rays,0.0,1.0,1,1.0,1,1.0,1
8,C.Ragans u6.5 Ks,_Collin1,-112,0.56,C.Ragans,1.06,0.5,Kansas City Royals,New York Mets,0.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
9,A.Wood u4.5 Ks,cowhitchurch,-148,0.74,A.Wood,1.24,0.5,Oakland Athletics,Washington Nationals,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
10,G.Ashcraft u4.5 ks,Jason Radowitz,126,1.0,G.Ashcraft,2.26,1.2599999999999998,Cincinnati Reds,Chicago White Sox,0.0,0.0,0,0.0,0,0.0,0
