Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,C.Irvin u5.5 Hits Allowed,SBK5065,-160,0.5,0.8125,0.3125,C.Irvin,Baltimore Orioles,Seattle Mariners,0.0,,,,,,
0,C.Irvin u4.5 Ks,PropBetGuy,-120,1.2,2.2,1.0000000000000002,C.Irvin,Baltimore Orioles,Seattle Mariners,0.0,,,,,,
1,C.Irvin u4.5 Ks,AnthonyDabbundo,-106,1.06,2.06,1.0,C.Irvin,Baltimore Orioles,Seattle Mariners,0.0,,,,,,
2,C.Irvin u4.5 Ks,SBK5065,-105,0.53,1.0347619047619048,0.5047619047619047,C.Irvin,Baltimore Orioles,Seattle Mariners,0.0,,,,,,
3,C.Irvin u4.5 Ks,charliedisturco,-106,1.06,2.06,1.0,C.Irvin,Baltimore Orioles,Seattle Mariners,0.0,,,,,,
4,J.France u5.5 Ks,PropBetGuy,-141,1.0,1.7092198581560285,0.7092198581560285,J.France,Houston Astros,Los Angeles Angels,1.0,,,,,,
5,Z.Gallen o5.5 Ks,JoeDellera,-130,0.38,0.6723076923076923,0.2923076923076922,Z.Gallen,Arizona Diamondbacks,San Diego Padres,1.0,,,,,,
6,S.Strider o8.5 Ks,JoeDellera,-110,0.5,0.9545454545454546,0.4545454545454546,S.Strider,Atlanta Braves,New York Mets,0.0,,,,,,
0,K.Tucker o0.5 RBI,NicholaskMartin,160,0.8,2.08,1.28,K.Tucker,Houston Astros,Los Angeles Angels,1.0,0.4347826086956521,0.0,0.8,1.0,0.7,1.0
0,K.Tucker o1.5 Total Bases,NicholaskMartin,105,0.53,1.0865,0.5565,K.Tucker,Houston Astros,Los Angeles Angels,1.0,0.4608695652173913,0.0,0.8,1.0,0.7,1.0
