,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,N.Gorman o0.5 RBI,Thespinzone,165,0.1,N.Gorman,0.265,0.165,St. Louis Cardinals,Pittsburgh Pirates,0.0,0.4339622641509434,0.0,0.6,1.0,0.4,0.0
2,G.Stanton o0.5 RBI,Thespinzone,175,0.1,G.Stanton,0.275,0.175,New York Yankees,Los Angeles Dodgers,0.0,0.6428571428571429,1.0,0.6,1.0,0.6,1.0
3,J.Martinez o0.5 RBI,Thespinzone,160,0.16,J.Martinez,0.416,0.256,Los Angeles Dodgers,New York Yankees,1.0,0.5116279069767442,1.0,0.6,1.0,0.6,1.0
6,M.Semien o0.5 RBI,Thespinzone,155,0.1,M.Semien,0.255,0.155,Texas Rangers,Seattle Mariners,1.0,0.5263157894736842,1.0,0.4,0.0,0.5,0.0
7,M.Garver o0.5 RBI,Thespinzone,185,0.19,M.Garver,0.5415,0.3515,Texas Rangers,Seattle Mariners,1.0,0.2857142857142857,0.0,0.2,0.0,0.2857142857142857,0.0
0,N.Gorman o0.5 RBI,Thespinzone,165,0.1,N.Gorman,0.265,0.165,St. Louis Cardinals,Pittsburgh Pirates,0.0,,,,,,
11,W.Smith o0.5 RBI,Thespinzone,155,0.1,W.Smith,0.255,0.155,Los Angeles Dodgers,New York Yankees,1.0,,,,,,
12,G.Stanton o0.5 RBI,Thespinzone,175,0.1,G.Stanton,0.275,0.175,New York Yankees,Los Angeles Dodgers,0.0,,,,,,
13,J.Martinez o0.5 RBI,Thespinzone,160,0.16,J.Martinez,0.416,0.256,Los Angeles Dodgers,New York Yankees,1.0,,,,,,
24,J.Fraley o0.5 RBI,Thespinzone,150,0.15,J.Fraley,0.375,0.225,Cincinnati Reds,Milwaukee Brewers,1.0,,,,,,
29,A.Vaughn o0.5 RBI,Thespinzone,150,0.1,A.Vaughn,0.25,0.15,Chicago White Sox,Detroit Tigers,1.0,,,,,,
32,M.Semien o0.5 RBI,Thespinzone,155,0.1,M.Semien,0.255,0.155,Texas Rangers,Seattle Mariners,1.0,,,,,,
