,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
2,G.Torres o0.5 Runs Scored,Thespinzone,100,0.15,0.3,0.15,G.Torres,New York Yankees,Chicago Cubs,1
11,S.Kwan o0.5 Runs Scored,Thespinzone,-105,0.15,0.2928571428571428,0.1428571428571428,S.Kwan,Cleveland Guardians,Kansas City Royals,1
0,L.Raley o0.5 Runs Scored,Thespinzone,112,0.1,0.212,0.112,L.Raley,Tampa Bay Rays,Atlanta Braves,1
5,R.Greene o0.5 Runs Scored,Thespinzone,115,0.1,0.215,0.1149999999999999,R.Greene,Detroit Tigers,Toronto Blue Jays,1
