Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
8,R.Devers o1.5 hits+runs+rbi,Rotowire,100,0.75,R.Devers,1.5,0.75,Boston Red Sox,Houston Astros,1.0,0.5980392156862745,1,0.4,0,0.7,1
9,T.Myers u5.5 strikeouts,Rotowire,100,0.75,T.Myers,1.5,0.75,Milwaukee Brewers,Cincinnati Reds,1.0,0.6875,1,0.6,1,0.6,1
10,C.Burnes u6.5 strikeouts,Rotowire,100,0.75,C.Burnes,1.5,0.75,Baltimore Orioles,Tampa Bay Rays,0.0,0.8260869565217391,1,0.8,1,0.8,1
12,S.Arrighetti o5.5 strikeouts,Rotowire Prizepicks,100,1.5,S.Arrighetti,3.0,1.5,Houston Astros,Boston Red Sox,0.0,0.55,1,0.8,1,0.6,1
13,L.Webb u5.5 strikeouts,Rotowire Prizepicks,100,1.5,L.Webb,3.0,1.5,San Francisco Giants,Detroit Tigers,1.0,0.5833333333333334,1,0.8,1,0.6,1
14,N.Martinez u3.5 strikeouts,Rotowire Prizepicks,100,1.5,N.Martinez,3.0,1.5,Cincinnati Reds,Milwaukee Brewers,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
7,M.Wacha o3.5 strikeouts,Rotowire,100,0.75,M.Wacha,1.5,0.75,Kansas City Royals,St Louis Cardinals,1.0,0.6842105263157895,1,0.6,1,0.6,1
4,A.Judge o0.5 RBI,Thespinzone,140,0.2,A.Judge,0.48,0.2799999999999999,New York Yankees,Texas Rangers,1.0,0.4473684210526316,0,0.4,0,0.5,0
2,C.Flexen o4.5 Hits Allowed,SBK5065,-140,1.0,C.Flexen,1.7142857142857144,0.7142857142857144,Chicago White Sox,Chicago Cubs,1.0,0.6666666666666666,1,0.8,1,0.8,1
0,S.Arrighetti u16.5 Outs,SBK5065,-114,1.0,S.Arrighetti,1.8771929824561404,0.8771929824561404,Houston Astros,Boston Red Sox,0.0,0.55,1,0.2,0,0.4,0
1,S.Arrighetti u16.5 Outs,PropBetGuy,102,1.0,S.Arrighetti,2.02,1.02,Houston Astros,Boston Red Sox,0.0,0.55,1,0.2,0,0.4,0
