,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,J.Outman o0.5 RBI,Thespinzone,160,0.08,J.Outman,0.208,0.128,Los Angeles Dodgers,St. Louis Cardinals,0.0
1,M.Muncy o0.5 RBI,Thespinzone,125,0.09,M.Muncy,0.2024999999999999,0.1124999999999999,Los Angeles Dodgers,St. Louis Cardinals,0.0
9,R.Mountcastle o0.5 RBI,Thespinzone,150,0.11,R.Mountcastle,0.275,0.165,Baltimore Orioles,Los Angeles Angels,1.0
14,R.Arozarena o0.5 rbi,Chris Landers,180,1.0,R.Arozarena,2.8,1.7999999999999998,Tampa Bay Rays,New York Mets,0.0
