,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,A.Rizzo o1.5 Total Bases,charliedisturco,140,0.5,A.Rizzo,1.2,0.7,New York Yankees,Toronto Blue Jays,0.0,0.4651162790697674,0.0,0.8,1.0,0.7,1.0
4,A.Rizzo o1.5 Total Bases,charliedisturco,140,0.5,A.Rizzo,1.2,0.7,New York Yankees,Toronto Blue Jays,0.0,,,,,,
5,B.Bichette o1.5 Total Bases,NicholaskMartin,-115,0.87,B.Bichette,1.6265217391304347,0.7565217391304347,Toronto Blue Jays,New York Yankees,1.0,,,,,,
6,B.Bichette o1.5 Total Bases,GreenDotDaily,-120,0.83,B.Bichette,1.5216666666666667,0.6916666666666668,Toronto Blue Jays,New York Yankees,1.0,,,,,,
