,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,D.Rasmussen u2.5 Ks,SBK5065,-190,1.0,D.Rasmussen,1.526315789473684,0.5263157894736841,Tampa Bay Rays,Arizona Diamondbacks,1.0,1.0,1,1.0,1,1.0,1
1,C.Morton u6.5 strikeouts,Rotowire,100,0.75,C.Morton,1.5,0.75,Atlanta Braves,Los Angeles Angels,0.0,0.6818181818181818,1,0.8,1,0.7,1
2,G.Kirby u5.5 strikeouts,Rotowire Prizepicks,100,1.5,G.Kirby,3.0,1.5,Seattle Mariners,Pittsburgh Pirates,0.0,0.44,0,0.4,0,0.4,0
