,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,C.Taylor o0.5 hits,Teddy Ricketson,-190,1.0,1.526315789473684,0.5263157894736841,C.Taylor,Los Angeles Dodgers,Colorado Rockies,1.0,0.4936708860759494,0,0.4,0,0.5,0,X
1,1,A.Nola o5.5 strikeouts,Teddy Ricketson,-170,1.0,1.5882352941176472,0.5882352941176472,A.Nola,Philadelphia Phillies,Washington Nationals,1.0,0.6086956521739131,1,1.0,1,0.8,1,X
2,2,M.Yoshida u1.5 hits,Teddy Ricketson,-260,1.0,1.3846153846153846,0.3846153846153846,M.Yoshida,Boston Red Sox,Kansas City Royals,1.0,0.5858585858585859,1,0.8,1,0.8,1,X
3,8,B.Reynolds o0.5 Runs Scored,Thespinzone,105,0.11,0.2254999999999999,0.1154999999999999,B.Reynolds,Pittsburgh Pirates,Atlanta Braves,1.0,0.42,0,0.6,1,0.6,1,N
4,10,K.Tucker o0.5 RBI,Thespinzone,130,0.1,0.2299999999999999,0.1299999999999999,K.Tucker,Houston Astros,Baltimore Orioles,0.0,0.4247787610619469,0,0.6,1,0.7,1,Y
5,12,Y.Alvarez o0.5 HR,Thespinzone,300,0.08,0.32,0.24,Y.Alvarez,Houston Astros,Baltimore Orioles,0.0,0.2463768115942029,0,0.4,0,0.4,0,N
6,13,A.Bregman o0.5 RBI,Thespinzone,170,0.13,0.351,0.221,A.Bregman,Houston Astros,Baltimore Orioles,0.0,0.3947368421052631,0,0.4,0,0.3,0,Y
7,15,A.Manoah o4.5 Ks,Thespinzone,110,0.11,0.231,0.121,A.Manoah,Toronto Blue Jays,Cleveland Guardians,0.0,0.5555555555555556,1,0.8,1,0.6,1,X
8,23,L.Thomas o0.5 Runs Scored,Thespinzone,155,0.13,0.3314999999999999,0.2014999999999999,L.Thomas,Washington Nationals,Philadelphia Phillies,0.0,0.5625,1,1.0,1,0.7,1,Y
9,28,N.Arenado o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,N.Arenado,St. Louis Cardinals,Tampa Bay Rays,0.0,0.4259259259259259,0,0.6,1,0.4,0,Y
10,33,P.Goldschmidt o1.5 Total Bases,NicholaskMartin,115,0.58,1.247,0.6669999999999999,P.Goldschmidt,St. Louis Cardinals,Tampa Bay Rays,0.0,0.4363636363636363,0,0.8,1,0.4,0,Y
11,37,J.Paxton u6.5 Ks,PropBetGuy,108,1.08,2.2464000000000004,1.1664000000000003,J.Paxton,Boston Red Sox,Kansas City Royals,1.0,0.5,0,0.8,1,0.5,0,X
12,38,M.Wallner o0.5 Runs Scored,Thespinzone,125,0.1,0.225,0.125,M.Wallner,Minnesota Twins,Detroit Tigers,0.0,0.4545454545454545,0,0.6,1,0.6,1,Y
13,40,K.Maeda o5.5 Ks,JoeDellera,-145,0.5,0.8448275862068966,0.3448275862068966,K.Maeda,Minnesota Twins,Detroit Tigers,0.0,0.6666666666666666,1,1.0,1,0.7,1,X
14,41,K.Maeda o6.5 Ks,JoeDellera,120,0.3,0.66,0.36,K.Maeda,Minnesota Twins,Detroit Tigers,0.0,0.5833333333333334,1,0.8,1,0.6,1,X
