,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,Correct
0,6,J.Altuve o0.5 Runs Scored,Thespinzone,-105,0.12,0.2342857142857142,0.1142857142857142,J.Altuve,Houston Astros,Baltimore Orioles,0.0,N
1,7,A.Bregman o0.5 RBI,Thespinzone,210,0.26,0.806,0.546,A.Bregman,Houston Astros,Baltimore Orioles,0.0,Y
2,9,G.Henderson o0.5 RBI,Thespinzone,150,0.1,0.25,0.15,G.Henderson,Baltimore Orioles,Houston Astros,1.0,Y
