,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0.0,0,N.Gorman o0.5 RBI,Thespinzone,165,0.1,N.Gorman,0.265,0.165,St. Louis Cardinals,Pittsburgh Pirates,0.0,0.4339622641509434,0,0.6,1,0.4,0,N
1,6,6,7.0,7,C.Wong o0.5 Runs Scored,Thespinzone,160,0.1,C.Wong,0.26,0.16,Boston Red Sox,Tampa Bay Rays,1.0,0.4390243902439024,0,0.8,1,0.7,1,N
2,12,12,17.0,17,G.Stanton o0.5 RBI,Thespinzone,175,0.1,G.Stanton,0.275,0.175,New York Yankees,Los Angeles Dodgers,0.0,0.6428571428571429,1,0.6,1,0.6,1,N
3,13,13,18.0,18,J.Martinez o0.5 RBI,Thespinzone,160,0.16,J.Martinez,0.416,0.256,Los Angeles Dodgers,New York Yankees,1.0,0.5116279069767442,1,0.6,1,0.6,1,Y
4,14,14,19.0,19,W.Smith o1.5 Total Bases,charliedisturco,135,0.5,W.Smith,1.175,0.675,Los Angeles Dodgers,New York Yankees,1.0,0.475,0,0.4,0,0.5,0,N
5,23,23,28.0,28,B.Harper o1.5 Total Bases,charliedisturco,-120,0.5,B.Harper,0.9166666666666669,0.4166666666666668,Philadelphia Phillies,Washington Nationals,0.0,0.4074074074074074,0,0.4,0,0.4,0,Y
6,32,32,43.0,43,M.Semien o0.5 RBI,Thespinzone,155,0.1,M.Semien,0.255,0.155,Texas Rangers,Seattle Mariners,1.0,0.5263157894736842,1,0.4,0,0.5,0,N
7,33,33,44.0,44,M.Garver o0.5 RBI,Thespinzone,185,0.19,M.Garver,0.5415,0.3515,Texas Rangers,Seattle Mariners,1.0,0.2857142857142857,0,0.2,0,0.2857142857142857,0,Y
8,34,34,46.0,46,Z.Gallen o5.5 Ks,PropBetGuy,-145,1.0,Z.Gallen,1.6896551724137931,0.6896551724137931,Arizona Diamondbacks,Atlanta Braves,1.0,0.75,1,0.6,1,0.8,1,Y
9,36,36,1.0,2,T.Wells o5.5 strikeouts,Chris Landers,-125,1.0,T.Wells,1.8,0.8,Baltimore Orioles,San Francisco Giants,0.0,0.5454545454545454,1,0.8,1,0.6,1,Y
10,37,37,,1,T.Wells o5.5 strikeouts,Colby Conway,-110,1.0,T.Wells,1.9090909090909087,0.9090909090909088,Baltimore Orioles,San Francisco Giants,0.0,0.5454545454545454,1,0.8,1,0.6,1,Y
