,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,13,13,13.0,13,M.Yoshida o1.5 Total Bases,JoeDellera,160,0.5,M.Yoshida,1.3,0.8,Boston Red Sox,Philadelphia Phillies,0.0,0.6296296296296297,1,1.0,1,0.9,1,N
1,16,16,16.0,16,G.Hampson o0.5 Hits,Thespinzone,-115,0.13,G.Hampson,0.2430434782608695,0.1130434782608695,Miami Marlins,Chicago Cubs,0.0,0.5,0,0.6,1,0.6,1,Y
2,23,24,25.0,25,S.Perez o0.5 RBI,charliedisturco,120,0.5,S.Perez,1.1,0.6000000000000001,Kansas City Royals,Oakland Athletics,1.0,0.3448275862068966,0,0.6,1,0.5,0,N
3,24,25,26.0,26,K.Muller u3.5 Ks,jimsannes,112,1.12,K.Muller,2.3744000000000005,1.2544000000000004,Oakland Athletics,Kansas City Royals,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,Y
4,25,26,27.0,27,H.Ramos o0.5 Runs Scored,Thespinzone,170,0.09,H.Ramos,0.243,0.153,Cincinnati Reds,Chicago White Sox,1.0,0.625,1,0.6,1,0.625,1,N
5,26,27,28.0,28,P.Battenfield u4.5 Ks,SBK5065,-105,1.05,P.Battenfield,2.05,0.9999999999999998,Cleveland Guardians,Minnesota Twins,1.0,0.75,1,0.75,1,0.75,1,N
6,27,28,29.0,29,P.Battenfield u4.5 Ks,PropBetGuy,-118,1.18,P.Battenfield,2.18,1.0000000000000002,Cleveland Guardians,Minnesota Twins,1.0,0.75,1,0.75,1,0.75,1,N
7,28,29,32.0,32,G.Perdomo o0.5 Total Bases,Thespinzone,100,0.11,G.Perdomo,0.22,0.11,Arizona Diamondbacks,Washington Nationals,1.0,0.5,0,0.6,1,0.6,1,N
8,29,30,33.0,33,K.Senga o5.5 Ks,PropBetGuy,100,1.5,K.Senga,3.0,1.5,New York Mets,Colorado Rockies,1.0,0.8,1,0.8,1,0.8,1,N
9,30,31,34.0,34,J.Heim o0.5 RBI,Thespinzone,210,0.08,J.Heim,0.248,0.1679999999999999,Texas Rangers,Los Angeles Angels,0.0,0.48,0,0.6,1,0.5,0,N
10,31,32,35.0,35,T.Anderson o2.5 Earned Runs,PropBetGuy,120,1.0,T.Anderson,2.2,1.2000000000000002,Los Angeles Angels,Texas Rangers,1.0,0.6,1,0.6,1,0.6,1,N
11,32,33,36.0,36,M.Fried u5.5 Ks,PropBetGuy,-116,1.16,M.Fried,2.16,1.0000000000000002,Atlanta Braves,Baltimore Orioles,1.0,0.75,1,0.75,1,0.75,1,N
12,35,36,0.0,0,K.Senga o5.5 strikeouts,Benjamin Zweiman,-140,1.0,K.Senga,1.7142857142857144,0.7142857142857144,New York Mets,Colorado Rockies,1.0,0.8,1,0.8,1,0.8,1,N
13,36,37,1.0,2,F.Freeman o1.5 total bases,Benjamin Zweiman,115,1.0,F.Freeman,2.15,1.15,Los Angeles Dodgers,San Diego Padres,0.0,0.375,0,0.6,1,0.5,0,Y
14,37,38,,0,B.Buxton o1.5 hits+runs+rbi,Dan Servodidio,-110,1.0,B.Buxton,1.9090909090909087,0.9090909090909088,Minnesota Twins,Cleveland Guardians,0.0,0.5862068965517241,1,1.0,1,0.7,1,N
