,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,4,4,B.Snell o7.5 Strikeouts,Colby Conway,-110,1.0,1.9090909090909087,0.9090909090909092,B.Snell,San Diego Padres,San Francisco Giants,1.0,0.4230769230769231,0,0.8,1,0.5,0,Y
1,7,7,A.Nola o5.5 Ks,JoeDellera,-140,0.35,0.6,0.25,A.Nola,Philadelphia Phillies,Milwaukee Brewers,0.0,0.6153846153846154,1,0.8,1,0.8,1,N
