,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,2,2,2.0,2,R.Grichuk o0.5 Runs Scored,Thespinzone,150,0.11,R.Grichuk,0.275,0.165,Colorado Rockies,Pittsburgh Pirates,0.0,0.5,0,0.6,1,0.5,0,Y
1,3,3,3.0,3,K.Bryant o1.5 Total Bases,charliedisturco,125,0.5,K.Bryant,1.125,0.625,Colorado Rockies,Pittsburgh Pirates,0.0,0.4117647058823529,0,0.6,1,0.5,0,N
2,4,4,4.0,4,P.Battenfield u5.5 Ks,SBK5065,-165,0.5,P.Battenfield,0.803030303030303,0.303030303030303,Cleveland Guardians,Detroit Tigers,1.0,0.8,1,0.8,1,0.8,1,Y
3,6,6,8.0,8,L.Lynn o5.5 Ks,PropBetGuy,-138,1.38,L.Lynn,2.38,1.0,Chicago White Sox,Kansas City Royals,0.0,0.7142857142857143,1,0.8,1,0.7142857142857143,1,N
4,7,7,10.0,10,N.Castellanos o0.5 Runs Scored,Thespinzone,140,0.08,N.Castellanos,0.192,0.112,Philadelphia Phillies,Toronto Blue Jays,1.0,0.5833333333333334,1,0.8,1,0.5,0,N
5,8,8,11.0,11,B.Harper o0.5 Runs Scored,Thespinzone,100,0.08,B.Harper,0.16,0.08,Philadelphia Phillies,Toronto Blue Jays,1.0,0.8333333333333334,1,1.0,1,0.8333333333333334,1,Y
6,11,11,15.0,15,C.Morel o0.5 Hits,Thespinzone,-115,0.09,C.Morel,0.1682608695652173,0.0782608695652173,Chicago Cubs,St. Louis Cardinals,1.0,1.0,1,1.0,1,1.0,1,Y
7,19,19,25.0,25,G.Torres o1.5 Total Bases,charliedisturco,120,0.6,G.Torres,1.32,0.7200000000000001,New York Yankees,Oakland Athletics,1.0,0.3333333333333333,0,0.8,1,0.5,0,Y
8,22,22,28.0,28,H.Bader o0.5 RBI,Thespinzone,140,0.11,H.Bader,0.264,0.154,New York Yankees,Oakland Athletics,1.0,0.5714285714285714,1,0.8,1,0.5714285714285714,1,Y
9,23,23,30.0,30,H.Bader o1.5 Total Bases,PropBetGuy,130,1.3,H.Bader,2.99,1.6900000000000002,New York Yankees,Oakland Athletics,1.0,0.5714285714285714,1,0.8,1,0.5714285714285714,1,Y
10,24,24,31.0,31,J.Brito u4.5 Ks,PropBetGuy,-111,1.0,J.Brito,1.900900900900901,0.900900900900901,New York Yankees,Oakland Athletics,1.0,0.7142857142857143,1,0.8,1,0.7142857142857143,1,Y
11,25,25,32.0,32,M.Betts o1.5 Total Bases,PropBetGuy,105,1.0,M.Betts,2.05,1.0499999999999998,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.4571428571428571,0,0.6,1,0.6,1,N
12,26,26,33.0,33,M.Betts o0.5 HR,charliedisturco,425,0.1,M.Betts,0.525,0.425,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.1714285714285714,0,0.2,0,0.2,0,N
13,27,27,36.0,36,M.Betts o1.5 Total Bases,charliedisturco,105,0.5,M.Betts,1.025,0.5249999999999999,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.4571428571428571,0,0.6,1,0.6,1,N
14,28,28,37.0,37,J.India o0.5 Runs Scored,Thespinzone,130,0.1,J.India,0.2299999999999999,0.1299999999999999,Cincinnati Reds,New York Mets,1.0,0.5714285714285714,1,0.6,1,0.4,0,Y
15,30,30,1.0,1,M.Betts o1.5 total bases,Chris Landers,100,1.0,M.Betts,2.0,1.0,Los Angeles Dodgers,Milwaukee Brewers,0.0,0.4571428571428571,0,0.6,1,0.6,1,N
16,31,31,,0,J.Verlander u6.0 strikeouts,Dan Servodidio,-110,1.0,J.Verlander,1.9090909090909087,0.9090909090909088,New York Mets,Cincinnati Reds,0.0,1.0,1,1.0,1,1.0,1,N
