,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,1,1.0,1,J.Bleday o0.5 Runs Scored,Thespinzone,155,0.06,J.Bleday,0.153,0.093,Oakland Athletics,Texas Rangers,1.0,0.6,1,0.6,1,0.6,1,N
1,5,5,6.0,6,F.Freeman o0.5 Runs Scored,Thespinzone,-105,0.14,F.Freeman,0.2733333333333334,0.1333333333333333,Los Angeles Dodgers,San Diego Padres,1.0,0.6153846153846154,1,1.0,1,0.8,1,Y
2,6,6,7.0,7,X.Bogaerts o0.5 Hits,SBK5065,100,0.25,X.Bogaerts,0.5,0.25,San Diego Padres,Los Angeles Dodgers,0.0,0.7631578947368421,1,0.6,1,0.6,1,Y
3,7,7,8.0,8,X.Bogaerts o0.5 Hits,JoeDellera,100,0.25,X.Bogaerts,0.5,0.25,San Diego Padres,Los Angeles Dodgers,0.0,0.7631578947368421,1,0.6,1,0.6,1,Y
4,12,12,13.0,13,T.France o0.5 Runs Scored,Thespinzone,100,0.1,T.France,0.2,0.1,Seattle Mariners,Detroit Tigers,0.0,0.4736842105263157,0,0.6,1,0.4,0,N
5,13,13,14.0,14,L.Nootbaar o0.5 RBI,Thespinzone,250,0.06,L.Nootbaar,0.21,0.15,St. Louis Cardinals,Boston Red Sox,0.0,0.4,0,0.8,1,0.5,0,N
6,14,14,15.0,15,T.Wells u5.5 Ks,SBK5065,-148,0.74,T.Wells,1.24,0.5,Baltimore Orioles,Pittsburgh Pirates,1.0,0.7142857142857143,1,0.8,1,0.7142857142857143,1,N
7,16,16,20.0,20,C.Morel o0.5 RBI,Thespinzone,275,0.08,C.Morel,0.3,0.2199999999999999,Chicago Cubs,Minnesota Twins,0.0,1.0,1,1.0,1,1.0,1,N
8,19,19,24.0,24,C.Schmitt o0.5 Runs Scored,Thespinzone,200,0.08,C.Schmitt,0.24,0.1599999999999999,San Francisco Giants,Arizona Diamondbacks,0.0,0.75,1,0.75,1,0.75,1,N
9,20,20,1.0,2,A.Rutschman o0.5 hits,Teddy Ricketson,-245,1.0,A.Rutschman,1.4081632653061225,0.4081632653061224,Baltimore Orioles,Pittsburgh Pirates,1.0,0.631578947368421,1,0.6,1,0.5,0,Y
10,21,21,,1,A.Rutschman o1.5 hits+runs+rbi,Josh Wagner,-110,1.0,A.Rutschman,1.9090909090909087,0.9090909090909088,Baltimore Orioles,Pittsburgh Pirates,1.0,0.4736842105263157,0,0.6,1,0.4,0,Y
