Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
Y.Rodriguez o3.5 Hits Allowed,SBK5065,-157,1.0,Y.Rodriguez,1.6369426751592355,0.6369426751592355,Toronto Blue Jays,Boston Red Sox,0.0,0.6153846153846154,1.0,0.8,1.0,0.6,1.0
S.Ohtani o1.5 Total Bases,MJCLocks,106,1.0,S.Ohtani,2.06,1.06,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5555555555555556,1.0,0.6,1.0,0.5,0.0
D.Cease u2.5 Earned Runs,Markus_Markets,-140,1.0,D.Cease,1.7142857142857144,0.7142857142857144,San Diego Padres,St Louis Cardinals,0.0,0.5925925925925926,1.0,0.8,1.0,0.7,1.0
G.Cole u6.5 Ks,LinesAtLunch,-130,1.3,G.Cole,2.3,0.9999999999999998,New York Yankees,Washington Nationals,0.0,0.5,0.0,0.4,0.0,0.5,0.0
M.Amaya o0.5 hits+runs+rbi,Rotowire,100,0.75,M.Amaya,1.5,0.75,Chicago Cubs,Pittsburgh Pirates,0.0,0.6436781609195402,1.0,0.8,1.0,0.7,1.0
J.Tena o0.5 hits+runs+rbi,Rotowire,100,0.75,J.Tena,1.5,0.75,Washington Nationals,New York Yankees,1.0,0.6666666666666666,1.0,0.4,0.0,0.7,1.0
J.Flaherty o5.5 Ks,Markus_Markets,-150,1.0,J.Flaherty,1.6666666666666663,0.6666666666666665,Los Angeles Dodgers,Baltimore Orioles,1.0,0.75,1.0,0.75,1.0,0.75,1.0
A.Judge o1.5 total bases,Rotowire,100,0.75,A.Judge,1.5,0.75,New York Yankees,Washington Nationals,0.0,0.5307692307692308,1.0,0.6,1.0,0.7,1.0
B.Rooker o1.5 hits+runs+rbi,Rotowire,100,0.75,B.Rooker,1.5,0.75,Oakland Athletics,Cincinnati Reds,0.0,0.5701754385964912,1.0,0.6,1.0,0.5,0.0
A.Nola u18.5 Outs,SBK5065,-160,1.0,A.Nola,1.625,0.625,Philadelphia Phillies,Houston Astros,1.0,0.6,1.0,0.8,1.0,0.7,1.0
B.Pfaadt u6.5 Ks,charliedisturco,-130,1.3,B.Pfaadt,2.3,0.9999999999999998,Arizona Diamondbacks,New York Mets,1.0,0.64,1.0,0.8,1.0,0.7,1.0
J.Young o0.5 hits+runs+rbi,Rotowire,100,0.75,J.Young,1.5,0.75,Washington Nationals,New York Yankees,1.0,0.6610169491525424,1.0,1.0,1.0,0.8,1.0
S.Schwellenbach o6.5 strikeouts,Rotowire Prizepicks,100,1.5,S.Schwellenbach,3.0,1.5,Atlanta Braves,Minnesota Twins,0.0,0.5714285714285714,1.0,1.0,1.0,0.7,1.0
J.Flaherty o5.5 Ks,KyleJustBets,-155,1.0,J.Flaherty,1.6451612903225803,0.6451612903225805,Los Angeles Dodgers,Baltimore Orioles,1.0,0.75,1.0,0.75,1.0,0.75,1.0
D.Varsho o1.5 hits+runs+rbi,Rotowire,100,0.75,D.Varsho,1.5,0.75,Toronto Blue Jays,Boston Red Sox,0.0,0.4358974358974359,0.0,0.8,1.0,0.7,1.0
A.Judge o2.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,A.Judge,3.0,1.5,New York Yankees,Washington Nationals,0.0,0.5076923076923077,1.0,0.6,1.0,0.6,1.0
S.Schwellenbach o5.5 strikeouts,Rotowire,100,0.75,S.Schwellenbach,1.5,0.75,Atlanta Braves,Minnesota Twins,0.0,0.7142857142857143,1.0,1.0,1.0,0.9,1.0
E.Julien o0.5 hits+runs+rbi,Rotowire,100,0.75,E.Julien,1.5,0.75,Minnesota Twins,Atlanta Braves,1.0,0.4714285714285714,0.0,0.4,0.0,0.4,0.0
R.Munoz o2.5 earned runs,Rotowire,100,0.75,R.Munoz,1.5,0.75,Miami Marlins,Colorado Rockies,0.0,0.6,1.0,0.8,1.0,0.7,1.0
C.Mullins o0.5 hits+runs+rbi,Rotowire,100,0.75,C.Mullins,1.5,0.75,Baltimore Orioles,Los Angeles Dodgers,0.0,0.6,1.0,0.4,0.0,0.6,1.0
