Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,L.Lynn u6.5 Ks,PropBetGuy,-108,1.0,L.Lynn,1.925925925925926,0.925925925925926,Chicago White Sox,New York Yankees,0.0,,,,,,
0,J.Martinez o0.5 RBI,Thespinzone,107,0.15,J.Martinez,0.3105,0.1605,Los Angeles Dodgers,Cincinnati Reds,0.0,0.5217391304347826,1,0.6,1,0.6,1
0,Y.Gomes o1.5 Total Bases,charliedisturco,130,0.5,Y.Gomes,1.15,0.6499999999999999,Chicago Cubs,Los Angeles Angels,0.0,,,,,,
1,J.Bell o1.5 Total Bases,charliedisturco,120,0.6,J.Bell,1.32,0.7200000000000001,Cleveland Guardians,Boston Red Sox,1.0,,,,,,
2,M.Chapman u1.5 total bases,Teddy Ricketson,-180,1.0,M.Chapman,1.5555555555555556,,Toronto Blue Jays,Houston Astros,1.0,,,,,,
