Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
F.Valdez o5.5 Ks,PlayerPropSavant,-125,0.63,F.Valdez,1.134,0.5040000000000001,Houston Astros,Baltimore Orioles,0.0,0.4545454545454545,0,0.8,1,0.7,1
D.Peterson u4.5 Ks,PlayerPropSavant,-115,1.15,D.Peterson,2.1499999999999995,0.9999999999999996,New York Mets,San Diego Padres,0.0,0.5,0,0.4,0,0.4,0
S.Imanaga o5.5 strikeouts,Rotowire,100,0.75,S.Imanaga,1.5,0.75,Chicago Cubs,Miami Marlins,0.0,0.6521739130434783,1,0.6,1,0.6,1
W.Warren o5.5 strikeouts,Rotowire,100,0.75,W.Warren,1.5,0.75,New York Yankees,Colorado Rockies,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
R.Suarez o3.5 strikeouts,Rotowire Prizepicks,100,1.5,R.Suarez,3.0,1.5,Philadelphia Phillies,Kansas City Royals,0.0,0.85,1,0.8,1,0.8,1
R.Suarez o3.5 strikeouts,Rotowire,100,0.75,R.Suarez,1.5,0.75,Philadelphia Phillies,Kansas City Royals,0.0,0.85,1,0.8,1,0.8,1
S.Gray o6.5 strikeouts,Rotowire Prizepicks,100,1.5,S.Gray,3.0,1.5,St Louis Cardinals,Minnesota Twins,0.0,0.4782608695652174,0,0.6,1,0.5,0
C.Rea o4.5 strikeouts,Rotowire,100,0.75,C.Rea,1.5,0.75,Milwaukee Brewers,Oakland Athletics,0.0,0.5454545454545454,1,0.8,1,0.6,1
D.Peterson o3.5 strikeouts,Rotowire,100,0.75,D.Peterson,1.5,0.75,New York Mets,San Diego Padres,0.0,0.7142857142857143,1,1.0,1,0.9,1
C.Kershaw u5.5 strikeouts,Rotowire,100,0.75,C.Kershaw,1.5,0.75,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.6,1,0.6,1,0.6,1
D.Peterson o4.5 strikeouts,Rotowire Prizepicks,100,1.5,D.Peterson,3.0,1.5,New York Mets,San Diego Padres,0.0,0.5,0,0.6,1,0.6,1
T.Bradley o5.5 strikeouts,Rotowire Prizepicks,100,1.5,T.Bradley,3.0,1.5,Tampa Bay Rays,Los Angeles Dodgers,0.0,0.6666666666666666,1,0.6,1,0.6,1
D.Peterson o4.5 strikeouts,Rotowire,100,0.75,D.Peterson,1.5,0.75,New York Mets,San Diego Padres,0.0,0.5,0,0.6,1,0.6,1
