,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,N.Martinez o3.5 Ks,PropBetGuy,-130.0,1.3,N.Martinez,2.3,0.9999999999999998,Cincinnati Reds,Pittsburgh Pirates,0.0,0.4444444444444444,0,0.6,1,0.4444444444444444,0,N
1,N.Martinez u15.5 Outs,SBK5065,-133.0,1.33,N.Martinez,2.33,1.0,Cincinnati Reds,Pittsburgh Pirates,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,Y
2,N.Martinez u1.5 BB,SBK5065,-165.0,1.0,N.Martinez,1.606060606060606,0.606060606060606,Cincinnati Reds,Pittsburgh Pirates,0.0,0.8888888888888888,1,0.8,1,0.8888888888888888,1,Y
3,T.Houck o1.5 BB,PropBetGuy,-130.0,1.3,T.Houck,2.3,0.9999999999999998,Boston Red Sox,Arizona Diamondbacks,1.0,0.52,1,0.8,1,0.7,1,Y
4,M.Kelly u16.5 Outs,PlayerPropSavant,-120.0,1.2,M.Kelly,2.2,1.0000000000000002,Arizona Diamondbacks,Boston Red Sox,0.0,0.5,0,0.6,1,0.5,0,N
5,T.Anderson u18.5 Outs,SBK5065,-180.0,1.25,T.Anderson,1.9444444444444444,0.6944444444444444,Los Angeles Angels,Toronto Blue Jays,0.0,0.56,1,0.8,1,0.8,1,Y
6,D.Herz u15.5 Outs,SBK5065,-139.0,1.0,D.Herz,1.7194244604316546,0.7194244604316546,Washington Nationals,Atlanta Braves,0.0,0.7142857142857143,1,0.6,1,0.7,1,Y
7,B.Woo u1.5 Earned Runs,PlayerPropSavant,-102.0,1.02,B.Woo,2.02,1.0,Seattle Mariners,San Francisco Giants,1.0,0.6,1,0.6,1,0.5,0,Y
8,R.Ray o6.5 Ks,PropBetGuy,-125.0,1.25,R.Ray,2.25,1.0,San Francisco Giants,Seattle Mariners,0.0,0.6,1,0.6,1,0.6,1,N
9,F.Lindor o1.5 Total Bases,moneybadger24_,-105.0,1.05,F.Lindor,2.05,0.9999999999999998,New York Mets,San Diego Padres,0.0,0.4615384615384615,0,1.0,1,0.7,1,N
10,Z.Matthews u1.5 BB,SBK5065,-140.0,1.4,Z.Matthews,2.4,1.0,Minnesota Twins,St Louis Cardinals,1.0,0.5,0,0.5,0,0.5,0,Y
11,C.Bradford u17.5 Outs,PlayerPropSavant,-110.0,1.1,C.Bradford,2.1,1.0,Texas Rangers,Cleveland Guardians,0.0,0.4285714285714285,0,0.4,0,0.4285714285714285,0,N
12,J.Loperfido o0.5 hits+runs+rbi,Rotowire,100.0,0.75,J.Loperfido,1.5,0.75,Toronto Blue Jays,Los Angeles Angels,1.0,0.6470588235294118,1,0.8,1,0.7,1,Y
13,Y.Kikuchi o5.5 strikeouts,Rotowire,100.0,0.75,Y.Kikuchi,1.5,0.75,Houston Astros,Baltimore Orioles,0.0,0.75,1,0.75,1,0.75,1,N
14,K.Allard o2.5 strikeouts,Rotowire,100.0,0.75,K.Allard,1.5,0.75,Philadelphia Phillies,Kansas City Royals,0.0,0.5,0,0.5,0,0.5,0,Y
15,M.Haniger o0.5 total bases,Rotowire Prizepicks,100.0,1.5,M.Haniger,3.0,1.5,Seattle Mariners,San Francisco Giants,1.0,0.5660377358490566,1,0.6,1,0.6,1,N
16,J.Cannon o4.5 strikeouts,Rotowire Prizepicks,100.0,1.5,J.Cannon,3.0,1.5,Chicago White Sox,Detroit Tigers,1.0,0.2857142857142857,0,0.2,0,0.1,0,N
17,T.Houck o4.5 strikeouts,Rotowire Prizepicks,100.0,1.5,T.Houck,3.0,1.5,Boston Red Sox,Arizona Diamondbacks,1.0,0.64,1,0.4,0,0.4,0,N
18,J.Ramirez o1.5 hits+runs+rbi,Rotowire,100.0,0.75,J.Ramirez,1.5,0.75,Cleveland Guardians,Texas Rangers,1.0,0.608,1,0.4,0,0.4,0,Y
19,S.Lugo u6.5 Hits Allowed,JBBets1,-155.0,1.0,S.Lugo,1.6451612903225803,0.6451612903225805,Kansas City Royals,Philadelphia Phillies,1.0,0.7692307692307693,1,0.8,1,0.8,1,N
20,S.Ohtani o1.5 Total Bases,theprophunter0_,-110.0,1.1,S.Ohtani,2.1,1.0,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.56,1,0.6,1,0.5,0,N
21,T.Estrada o0.5 hits+runs+rbi,Rotowire,100.0,0.75,T.Estrada,1.5,0.75,San Francisco Giants,Seattle Mariners,0.0,0.6774193548387096,1,1.0,1,0.6,1,N
22,M.Yastrzemski o0.5 hits+runs+rbi,Rotowire,100.0,0.75,M.Yastrzemski,1.5,0.75,San Francisco Giants,Seattle Mariners,0.0,0.5412844036697247,1,0.4,0,0.4,0,Y
23,L.Raley o0.5 total bases,Rotowire Prizepicks,100.0,1.5,L.Raley,3.0,1.5,Seattle Mariners,San Francisco Giants,1.0,0.490566037735849,0,0.4,0,0.5,0,X
24,M.Perez o4.5 strikeouts,Rotowire Prizepicks,100.0,1.5,M.Perez,3.0,1.5,San Diego Padres,New York Mets,1.0,0.75,1,0.75,1,0.75,1,N
25,C.Taylor o0.5 hits+runs+rbi,Rotowire,100.0,0.75,C.Taylor,1.5,0.75,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.4754098360655737,0,0.8,1,0.7,1,N
26,T.Hernandez o1.5 hits+runs+rbi,Rotowire,100.0,0.75,T.Hernandez,1.5,0.75,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.536,1,0.4,0,0.3,0,N
27,D.Kremer o3.5 strikeouts,Rotowire,100.0,0.75,D.Kremer,1.5,0.75,Baltimore Orioles,Houston Astros,1.0,0.6111111111111112,1,0.6,1,0.5,0,Y
28,J.Quintana o3.5 strikeouts,Rotowire,100.0,0.75,J.Quintana,1.5,0.75,New York Mets,San Diego Padres,0.0,0.6923076923076923,1,0.6,1,0.7,1,N
29,J.Quintana o3.5 strikeouts,Rotowire Prizepicks,100.0,1.5,J.Quintana,3.0,1.5,New York Mets,San Diego Padres,0.0,0.6923076923076923,1,0.6,1,0.7,1,N
30,L.Raley o0.5 hits+runs+rbi,Rotowire,100.0,0.75,L.Raley,1.5,0.75,Seattle Mariners,San Francisco Giants,1.0,0.5471698113207547,1,0.8,1,0.7,1,X
31,Y.Diaz o1.5 hits+runs+rbi,Rotowire,100.0,0.75,Y.Diaz,1.5,0.75,Houston Astros,Baltimore Orioles,0.0,0.559322033898305,1,0.8,1,0.7,1,Y
32,J.Holliday o0.5 hits+runs+rbi,Rotowire,100.0,0.75,J.Holliday,1.5,0.75,Baltimore Orioles,Houston Astros,1.0,0.6363636363636364,1,0.4,0,0.5,0,N
