,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,G.Crochet o5.5 Ks,KyleJustBets,-120,1.0,G.Crochet,1.8333333333333333,0.8333333333333335,Chicago White Sox,San Francisco Giants,0.0,0.6923076923076923,1,0.4,0,0.5,0,N
1,L.Webb o5.5 Ks,JBBets1,-135,1.0,L.Webb,1.7407407407407407,0.7407407407407407,San Francisco Giants,Chicago White Sox,1.0,0.4615384615384615,0,0.6,1,0.6,1,Y
2,L.Gilbert o5.5 Ks,KyleJustBets,-125,1.0,L.Gilbert,1.8,0.8,Seattle Mariners,Los Angeles Dodgers,0.0,0.7307692307692307,1,0.8,1,0.8,1,Y
3,N.Martinez u16.5 Outs,PlayerPropSavant,-110,1.0,N.Martinez,1.9090909090909087,0.9090909090909092,Cincinnati Reds,Toronto Blue Jays,0.0,0.625,1,0.6,1,0.625,1,Y
4,A.Kirk u1.5 Hits,JBBets1,196,1.0,A.Kirk,2.96,1.96,Toronto Blue Jays,Cincinnati Reds,1.0,0.8243243243243243,1,0.8,1,0.9,1,X
5,A.Heaney o1.5 Earned Runs,SBK5065,-157,1.0,A.Heaney,1.6369426751592355,0.6369426751592355,Texas Rangers,Pittsburgh Pirates,1.0,0.7083333333333334,1,0.8,1,0.7,1,N
6,J.Montgomery u2.5 BB,SBK5065,-185,1.0,J.Montgomery,1.5405405405405406,0.5405405405405406,Arizona Diamondbacks,Miami Marlins,0.0,0.631578947368421,1,0.4,0,0.7,1,Y
7,M.Parker o5.5 Ks,JBBets1,-130,1.0,M.Parker,1.7692307692307692,0.7692307692307692,Washington Nationals,Colorado Rockies,1.0,0.2857142857142857,0,0.2,0,0.3,0,Y
8,R.Munoz u4.5 ks,Jason Radowitz,-164,1.0,R.Munoz,1.6097560975609757,0.6097560975609757,Miami Marlins,Arizona Diamondbacks,1.0,0.5,0,0.6,1,0.6,1,Y
9,L.Gurriel o1.5 hits+runs+rbi,Rotowire,100,0.75,L.Gurriel,1.5,0.75,Arizona Diamondbacks,Miami Marlins,0.0,0.6,1,0.8,1,0.8,1,Y
10,J.Pena o1.5 hits+runs+rbi,Rotowire,100,0.75,J.Pena,1.5,0.75,Houston Astros,Boston Red Sox,1.0,0.5447154471544715,1,0.6,1,0.7,1,Y
11,K.Gibson o4.5 strikeouts,Rotowire,100,0.75,K.Gibson,1.5,0.75,St Louis Cardinals,Milwaukee Brewers,1.0,0.6086956521739131,1,0.8,1,0.7,1,Y
12,M.Waldron u5.5 strikeouts,Rotowire,100,0.75,M.Waldron,1.5,0.75,San Diego Padres,Minnesota Twins,1.0,0.5416666666666666,1,0.4,0,0.4,0,N
13,C.Criswell o2.5 strikeouts,Rotowire,100,0.75,C.Criswell,1.5,0.75,Boston Red Sox,Houston Astros,0.0,0.7857142857142857,1,0.6,1,0.7,1,Y
14,N.Martinez u4.5 strikeouts,Rotowire,100,0.75,N.Martinez,1.5,0.75,Cincinnati Reds,Toronto Blue Jays,0.0,0.625,1,0.6,1,0.625,1,Y
15,A.Heaney u5.5 strikeouts,Rotowire Prizepicks,100,1.5,A.Heaney,3.0,1.5,Texas Rangers,Pittsburgh Pirates,1.0,0.6666666666666666,1,0.8,1,0.7,1,N
16,M.Massey o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Massey,1.5,0.75,Kansas City Royals,Los Angeles Angels,1.0,0.5384615384615384,1,0.6,1,0.7,1,N
17,N.Cortes o4.5 strikeouts,Rotowire,100,0.75,N.Cortes,1.5,0.75,New York Yankees,Cleveland Guardians,1.0,0.68,1,0.6,1,0.7,1,N
18,M.Lorenzen u4.5 strikeouts,Rotowire,100,0.75,M.Lorenzen,1.5,0.75,Kansas City Royals,Los Angeles Angels,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
19,L.Webb u6.5 strikeouts,Rotowire,100,0.75,L.Webb,1.5,0.75,San Francisco Giants,Chicago White Sox,1.0,0.8461538461538461,1,0.6,1,0.7,1,Y
20,R.Munoz o3.5 strikeouts,Rotowire,100,0.75,R.Munoz,1.5,0.75,Miami Marlins,Arizona Diamondbacks,1.0,0.6428571428571429,1,0.4,0,0.6,1,N
21,J.Montgomery u17.5 outs,Rotowire Prizepicks,100,1.5,J.Montgomery,3.0,1.5,Arizona Diamondbacks,Miami Marlins,0.0,0.631578947368421,1,0.8,1,0.8,1,Y
22,M.Parker u6.5 strikeouts,Rotowire,100,0.75,M.Parker,1.5,0.75,Washington Nationals,Colorado Rockies,1.0,0.8571428571428571,1,1.0,1,0.9,1,Y
23,N.Martinez u16.5 outs,Rotowire Prizepicks,100,1.5,N.Martinez,3.0,1.5,Cincinnati Reds,Toronto Blue Jays,0.0,0.625,1,0.6,1,0.625,1,Y
24,J.Taillon u17.5 Outs,sirlockselot_,145,2.0,J.Taillon,4.9,2.9000000000000004,Chicago Cubs,Detroit Tigers,1.0,0.4090909090909091,0,0.4,0,0.3,0,Y
25,J.Soto o0.5 HR,charliedisturco,350,0.1,J.Soto,0.45,0.35,New York Yankees,Cleveland Guardians,1.0,0.221311475409836,0,0.4,0,0.4,0,Y
26,A.Judge o1.5 Total Bases,Proptology,-115,2.3,A.Judge,4.299999999999999,1.9999999999999991,New York Yankees,Cleveland Guardians,1.0,0.5241935483870968,1,0.8,1,0.8,1,Y
27,L.Webb o5.5 Ks,JBBets1,-135,0.74,L.Webb,1.288148148148148,0.548148148148148,San Francisco Giants,Chicago White Sox,1.0,0.4615384615384615,0,0.6,1,0.6,1,Y
28,S.Ohtani o1.5 Total Bases,theprophunter0_,-120,1.2,S.Ohtani,2.2,1.0000000000000002,Los Angeles Dodgers,Seattle Mariners,1.0,0.5573770491803278,1,0.6,1,0.6,1,N
29,J.Soto o0.5 HR,charliedisturco,350,0.1,J.Soto,0.45,0.35,New York Yankees,Cleveland Guardians,1.0,0.221311475409836,0,0.4,0,0.4,0,Y
30,N.Martinez u16.5 Outs,PlayerPropSavant,-110,1.0,N.Martinez,1.9090909090909087,0.9090909090909092,Cincinnati Reds,Toronto Blue Jays,0.0,0.625,1,0.6,1,0.625,1,Y
31,G.Crochet o5.5 Ks,KyleJustBets,-120,1.0,G.Crochet,1.8333333333333333,0.8333333333333335,Chicago White Sox,San Francisco Giants,0.0,0.6923076923076923,1,0.4,0,0.5,0,N
32,L.Webb o5.5 Ks,JBBets1,-135,0.74,L.Webb,1.288148148148148,0.548148148148148,San Francisco Giants,Chicago White Sox,1.0,0.4615384615384615,0,0.6,1,0.6,1,Y
