,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,D.Peterson u17.5 Outs,rsura_,New York Mets,D.Peterson,Toronto Blue Jays,0.0,0.4117647058823529,0,0.0,0,0.3,0,104,1.0,2.04,1.04,Y
1,C.Bassitt u18.5 Outs,SBK5065,Toronto Blue Jays,C.Bassitt,New York Mets,1.0,0.6785714285714286,1,0.8,1,0.7,1,-199,1.0,1.5025125628140703,0.5025125628140703,Y
2,T.Bradley u6.5 Ks,PropBetGuy,Tampa Bay Rays,T.Bradley,Philadelphia Phillies,0.0,0.5714285714285714,1,0.8,1,0.7,1,-142,1.42,2.42,1.0,Y
3,S.Lugo u2.5 BB,SBK5065,Kansas City Royals,S.Lugo,New York Yankees,0.0,0.8620689655172413,1,0.8,1,0.8,1,-135,1.35,2.35,1.0,Y
4,J.Cannon u3.5 Ks,MoneylineHacks,Chicago White Sox,J.Cannon,Cleveland Guardians,1.0,0.4117647058823529,0,0.2,0,0.4,0,-125,1.0,1.8,0.8,N
5,J.Cannon u3.5 Ks,rsura_,Chicago White Sox,J.Cannon,Cleveland Guardians,1.0,0.4117647058823529,0,0.2,0,0.4,0,-125,1.25,2.25,1.0,N
6,A.Pallante u4.5 Ks,MoneylineHacks,St Louis Cardinals,A.Pallante,Cincinnati Reds,1.0,0.5,0,0.6,1,0.5,0,-150,2.0,3.333333333333333,1.333333333333333,N
7,S.Arrighetti o6.5 Ks,rsura_,Houston Astros,S.Arrighetti,Oakland Athletics,1.0,0.36,0,0.4,0,0.5,0,-134,1.34,2.34,0.9999999999999998,Y
8,S.Imanaga u1.5 BB,SBK5065,Chicago Cubs,S.Imanaga,Los Angeles Dodgers,0.0,0.8076923076923077,1,0.6,1,0.8,1,-160,1.0,1.625,0.625,Y
9,L.Arraez o1.5 Hits + Runs + RBIs,FirefighterBets,San Diego Padres,L.Arraez,Seattle Mariners,0.0,0.6176470588235294,1,0.8,1,0.7,1,-122,1.0,1.819672131147541,0.819672131147541,Y
10,D.Peterson o4.5 Ks,LinesAtLunch,New York Mets,D.Peterson,Toronto Blue Jays,0.0,0.4705882352941176,0,0.4,0,0.5,0,-135,1.35,2.35,1.0,N
11,S.Arrighetti o6.5 Ks,LinesAtLunch,Houston Astros,S.Arrighetti,Oakland Athletics,1.0,0.36,0,0.4,0,0.5,0,-134,1.34,2.34,0.9999999999999998,Y
12,A.Civale u2.5 BB,SBK5065,Milwaukee Brewers,A.Civale,San Francisco Giants,0.0,0.7,1,0.8,1,0.7,1,-200,1.0,1.5,0.5,Y
13,A.Suarez u2.5 BB,Markus_Markets,Baltimore Orioles,A.Suarez,Boston Red Sox,0.0,0.8,1,1.0,1,0.9,1,-165,1.0,1.606060606060606,0.606060606060606,Y
14,A.Civale u2.5 Earned Runs,PlayerPropSavant,Milwaukee Brewers,A.Civale,San Francisco Giants,0.0,0.5,0,0.6,1,0.5,0,-135,1.35,2.35,1.0,Y
15,D.Peterson u17.5 Outs,LinesAtLunch,New York Mets,D.Peterson,Toronto Blue Jays,0.0,0.4117647058823529,0,0.0,0,0.3,0,104,1.0,2.04,1.04,Y
16,R.Lopez o5.5 Ks,PropBetGuy,Atlanta Braves,R.Lopez,Washington Nationals,0.0,0.6086956521739131,1,0.8,1,0.6,1,-123,1.23,2.23,1.0,N
17,A.Judge o1.5 Total Bases,charliedisturco,New York Yankees,A.Judge,Kansas City Royals,1.0,0.5140845070422535,1,0.4,0,0.3,0,104,0.25,0.51,0.26,N
18,S.Ohtani o1.5 Total Bases,theprophunter0_,Los Angeles Dodgers,S.Ohtani,Chicago Cubs,1.0,0.5611510791366906,1,0.6,1,0.7,1,100,1.0,2.0,1.0,N
19,S.Ohtani o1.5 hits+runs+rbi,Rotowire Prizepicks,Los Angeles Dodgers,S.Ohtani,Chicago Cubs,1.0,0.6258992805755396,1,0.6,1,0.7,1,100,1.5,3.0,1.5,N
20,J.Bauers o0.5 hits+runs+rbi,Rotowire,Milwaukee Brewers,J.Bauers,San Francisco Giants,0.0,0.5306122448979592,1,0.6,1,0.5,0,100,0.75,1.5,0.75,Y
21,W.Adames o0.5 total bases,Rotowire,Milwaukee Brewers,W.Adames,San Francisco Giants,0.0,0.6363636363636364,1,0.4,0,0.7,1,100,0.75,1.5,0.75,Y
22,G.Kirby o1.5 earned runs,Rotowire,Seattle Mariners,G.Kirby,San Diego Padres,1.0,0.5862068965517241,1,1.0,1,0.7,1,100,0.75,1.5,0.75,Y
23,C.Abrams o0.5 hits+runs+rbi,Rotowire,Washington Nationals,C.Abrams,Atlanta Braves,1.0,0.6923076923076923,1,0.6,1,0.5,0,100,0.75,1.5,0.75,N
24,S.Imanaga o4.5 strikeouts,Rotowire,Chicago Cubs,S.Imanaga,Los Angeles Dodgers,0.0,0.6923076923076923,1,0.6,1,0.7,1,100,0.75,1.5,0.75,N
