,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,B.Francis u5.5 Ks,MoneylineHacks,Toronto Blue Jays,B.Francis,Boston Red Sox,1,0.4166666666666667,0,0.4,0,0.4,0,125,1.0,2.25,1.25,Y
1,T.Myers o4.5 Ks,PropBetGuy,Milwaukee Brewers,T.Myers,Pittsburgh Pirates,0,0.5833333333333334,1,0.6,1,0.6,1,-119,1.19,2.19,1.0,N
2,C.Ragans u2.5 BB,Markus_Markets,Kansas City Royals,C.Ragans,Washington Nationals,0,0.6129032258064516,1,0.4,0,0.5,0,-175,1.0,1.5714285714285714,0.5714285714285714,N
3,C.Ragans u2.5 BB,SBK5065,Kansas City Royals,C.Ragans,Washington Nationals,0,0.6129032258064516,1,0.4,0,0.5,0,-190,1.33,2.03,0.6999999999999997,N
4,J.Chisholm o0.5 hits+runs+rbi,Rotowire,New York Yankees,J.Chisholm,Baltimore Orioles,1,0.7560975609756098,1,0.6,1,0.8,1,100,0.75,1.5,0.75,N
5,J.Steele o4.5 strikeouts,Rotowire Prizepicks,Chicago Cubs,J.Steele,Philadelphia Phillies,0,0.7391304347826086,1,0.6,1,0.6,1,100,1.5,3.0,1.5,N
6,T.Skubal o7.5 Ks,rsura_,Detroit Tigers,T.Skubal,Tampa Bay Rays,1,0.4333333333333333,0,0.4,0,0.6,1,-102,1.02,2.02,1.0,N
7,L.Knack u15.5 Outs,SBK5065,Los Angeles Dodgers,L.Knack,San Diego Padres,1,0.8181818181818182,1,0.8,1,0.8,1,-135,1.35,2.35,1.0,Y
8,T.Ward o1.5 hits+runs+rbi,Rotowire,Los Angeles Angels,T.Ward,Chicago White Sox,0,0.4733333333333333,0,0.8,1,0.7,1,100,0.75,1.5,0.75,N
9,B.Buxton o1.5 Hits + Runs + RBIs,MJCLocks,Minnesota Twins,B.Buxton,Miami Marlins,1,0.5434782608695652,1,0.6,1,0.7,1,-110,1.1,2.1,1.0,Y
10,T.Myers u2.5 Earned Runs,SBK5065,Milwaukee Brewers,T.Myers,Pittsburgh Pirates,0,0.7083333333333334,1,0.6,1,0.8,1,-165,1.0,1.606060606060606,0.606060606060606,Y
11,F.Tatis o1.5 Hits + Runs + RBIs,FirefighterBets,San Diego Padres,F.Tatis,Los Angeles Dodgers,0,0.6170212765957447,1,1.0,1,0.9,1,-135,1.0,1.7407407407407407,0.7407407407407407,N
12,B.Francis o1.5 earned runs,Rotowire,Toronto Blue Jays,B.Francis,Boston Red Sox,1,0.5,0,0.4,0,0.4,0,100,0.75,1.5,0.75,N
13,N.Marte o0.5 hits+runs+rbi,Rotowire,Cincinnati Reds,N.Marte,Cleveland Guardians,0,0.6065573770491803,1,0.8,1,0.7,1,100,0.75,1.5,0.75,N
14,F.Valdez o6.5 strikeouts,Rotowire Prizepicks,Houston Astros,F.Valdez,Seattle Mariners,1,0.4074074074074074,0,0.6,1,0.7,1,100,1.5,3.0,1.5,N
15,M.Muncy o0.5 hits+runs+rbi,Rotowire,Los Angeles Dodgers,M.Muncy,San Diego Padres,1,0.6666666666666666,1,0.8,1,0.7,1,100,0.75,1.5,0.75,Y
