,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,K.Freeland u4.5 Ks,PropBetGuy,-135,1.35,K.Freeland,2.35,1.0,Colorado Rockies,Miami Marlins,1.0,0.6666666666666666,1,0.6,1,0.5,0,N
1,D.Festa u15.5 Outs,SBK5065,-167,1.67,D.Festa,2.6699999999999995,0.9999999999999996,Minnesota Twins,Atlanta Braves,1.0,1.0,1,1.0,1,1.0,1,N
2,A.Pallante u2.5 BB,SBK5065,-180,1.0,A.Pallante,1.5555555555555556,0.5555555555555556,St Louis Cardinals,San Diego Padres,1.0,0.6428571428571429,1,0.8,1,0.7,1,Y
3,V.Caratini o0.5 Hits,JBBets1,190,1.0,V.Caratini,2.9,1.9,Houston Astros,Philadelphia Phillies,0.0,0.5901639344262295,1,0.6,1,0.6,1,Y
4,M.Gore u15.5 Outs,SBK5065,-165,1.0,M.Gore,1.606060606060606,0.606060606060606,Washington Nationals,New York Yankees,1.0,0.5384615384615384,1,0.4,0,0.6,1,N
5,K.Harrison u15.5 Outs,SBK5065,-143,1.0,K.Harrison,1.6993006993006992,0.6993006993006992,San Francisco Giants,Milwaukee Brewers,0.0,0.5454545454545454,1,0.6,1,0.5,0,Y
6,O.Bido u15.5 Outs,SBK5065,-152,1.0,O.Bido,1.6578947368421053,0.6578947368421053,Oakland Athletics,Cincinnati Reds,0.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,N
7,P.Pages o0.5 hits+runs+rbi,Rotowire,100,0.75,P.Pages,1.5,0.75,St Louis Cardinals,San Diego Padres,1.0,0.6739130434782609,1,0.8,1,0.6,1,N
8,M.Machado o1.5 hits+runs+rbi,Rotowire,100,0.75,M.Machado,1.5,0.75,San Diego Padres,St Louis Cardinals,0.0,0.5203252032520326,1,0.8,1,0.6,1,Y
9,C.Rodon o5.5 strikeouts,Rotowire,100,0.75,C.Rodon,1.5,0.75,New York Yankees,Washington Nationals,0.0,0.5769230769230769,1,0.6,1,0.7,1,Y
10,M.Gore o4.5 strikeouts,Rotowire,100,0.75,M.Gore,1.5,0.75,Washington Nationals,New York Yankees,1.0,0.5384615384615384,1,0.4,0,0.4,0,Y
11,P.Meadows o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,P.Meadows,3.0,1.5,Detroit Tigers,Los Angeles Angels,1.0,0.4680851063829787,0,1.0,1,0.8,1,X
12,C.Burnes o5.5 strikeouts,Rotowire Prizepicks,100,1.5,C.Burnes,3.0,1.5,Baltimore Orioles,Los Angeles Dodgers,0.0,0.5,0,0.4,0,0.4,0,N
13,C.Bellinger o1.5 Hits + Runs + RBIs,theprophunter0_,-105,1.05,C.Bellinger,2.05,0.9999999999999998,Chicago Cubs,Pittsburgh Pirates,0.0,0.5533980582524272,1,0.4,0,0.4,0,Y
14,G.Springer o1.5 hits+runs+rbi,Rotowire,100,0.75,G.Springer,1.5,0.75,Toronto Blue Jays,Boston Red Sox,0.0,0.4227642276422764,0,0.4,0,0.6,1,N
15,B.Bello o1.5 BB,Markus_Markets,-160,1.0,B.Bello,1.625,0.625,Boston Red Sox,Toronto Blue Jays,1.0,0.75,1,1.0,1,0.7,1,N
16,L.Severino o1.5 BB,Markus_Markets,-160,1.0,L.Severino,1.625,0.625,New York Mets,Arizona Diamondbacks,0.0,0.64,1,0.6,1,0.7,1,N
17,F.Peralta u2.5 BB,Markus_Markets,-175,1.0,F.Peralta,1.5714285714285714,0.5714285714285714,Milwaukee Brewers,San Francisco Giants,1.0,0.8076923076923077,1,1.0,1,0.8,1,N
18,E.Rodriguez o4.5 strikeouts,Rotowire,100,0.75,E.Rodriguez,1.5,0.75,Arizona Diamondbacks,New York Mets,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,Y
19,B.Marsh o0.5 total bases,Rotowire Prizepicks,100,1.5,B.Marsh,3.0,1.5,Philadelphia Phillies,Houston Astros,1.0,0.5462962962962963,1,1.0,1,0.7,1,N
