,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,7,G.Kirby u1.5 BB,SBK5065,-248,2.0,G.Kirby,2.806451612903226,0.806451612903226,Seattle Mariners,Washington Nationals,0,0.9,1,1.0,1,0.9,1,Y
1,12,S.Lugo o5.5 Ks,cowhitchurch,-125,0.63,S.Lugo,1.134,0.5040000000000001,Kansas City Royals,Tampa Bay Rays,0,0.4,0,0.8,1,0.4,0,N
2,15,J.Paxton u2.5 BB,cowhitchurch,-160,0.8,J.Paxton,1.3,0.5,Los Angeles Dodgers,Cincinnati Reds,0,0.5,0,0.6,1,0.5,0,N
3,16,J.Paxton u4.5 Ks,charliedisturco,120,0.5,J.Paxton,1.1,0.6000000000000001,Los Angeles Dodgers,Cincinnati Reds,0,0.875,1,1.0,1,0.875,1,Y
4,18,D.Jansen o0.5 Runs Scored,Thespinzone,-109,0.2,D.Jansen,0.3834862385321101,0.1834862385321101,Toronto Blue Jays,Detroit Tigers,0,0.5652173913043478,1,0.6,1,0.5,0,N
5,20,L.Matos o0.5 RBI,Thespinzone,260,0.25,L.Matos,0.9,0.65,San Francisco Giants,New York Mets,0,0.7,1,0.4,0,0.7,1,Y
6,21,M.Ozuna o0.5 RBI,Thespinzone,-105,0.25,M.Ozuna,0.4880952380952381,0.238095238095238,Atlanta Braves,Pittsburgh Pirates,0,0.5319148936170213,1,0.8,1,0.5,0,N
7,27,B.Garrett u1.5 BB,SBK5065,-115,0.58,B.Garrett,1.0843478260869563,0.5043478260869564,Miami Marlins,Arizona Diamondbacks,0,0.5,0,0.5,0,0.5,0,Y
8,28,M.Manning u4.5 ks,Jason Radowitz,-152,1.0,M.Manning,1.6578947368421053,0.6578947368421053,Detroit Tigers,Toronto Blue Jays,1,0.4,0,0.4,0,0.4,0,X
9,30,C.Scott o5.5 ks,Jason Radowitz,-118,1.0,C.Scott,1.847457627118644,0.847457627118644,New York Mets,San Francisco Giants,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,N
10,34,J.Hurtubise u1.5 total bases,Rotowire,100,0.75,J.Hurtubise,1.5,0.75,Cincinnati Reds,Los Angeles Dodgers,1,1.0,1,1.0,1,1.0,1,Y
11,35,T.Jankowski u1.5 total bases,Rotowire,100,0.75,T.Jankowski,1.5,0.75,Texas Rangers,Minnesota Twins,0,0.8620689655172413,1,1.0,1,0.9,1,Y
12,37,C.Sanchez u5.5 strikeouts,Rotowire,100,0.75,C.Sanchez,1.5,0.75,Philadelphia Phillies,Colorado Rockies,0,0.5555555555555556,1,0.8,1,0.5555555555555556,1,Y
13,38,J.Paxton o3.5 strikeouts,Rotowire,100,0.75,J.Paxton,1.5,0.75,Los Angeles Dodgers,Cincinnati Reds,0,0.5,0,0.4,0,0.5,0,Y
14,39,T.Blach o2.5 strikeouts,Rotowire,100,0.75,T.Blach,1.5,0.75,Colorado Rockies,Philadelphia Phillies,1,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,N
