,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,F.Peralta u2.5 BB,SBK5065,Milwaukee Brewers,F.Peralta,St Louis Cardinals,1.0,0.7777777777777778,1.0,0.8,1.0,0.7,1.0,-185,1.0,1.5405405405405406,0.5405405405405406,Y
1,J.Verlander u6.5 Ks,SBK5065,Houston Astros,J.Verlander,Cincinnati Reds,0.0,0.6666666666666666,1.0,0.8,1.0,0.7,1.0,-170,1.0,1.5882352941176472,0.5882352941176472,Y
2,G.Cole u18.5 Outs,SBK5065,New York Yankees,G.Cole,Texas Rangers,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-189,1.25,1.9113756613756607,0.6613756613756614,Y
3,K.Isbel o0.5 hits+runs+rbi,Rotowire,Kansas City Royals,K.Isbel,Cleveland Guardians,1.0,0.6513761467889908,1.0,0.8,1.0,0.7,1.0,100,0.75,1.5,0.75,Y
4,E.Rodriguez o4.5 strikeouts,Rotowire,Arizona Diamondbacks,E.Rodriguez,Los Angeles Dodgers,1.0,0.75,1.0,0.75,1.0,0.75,1.0,100,0.75,1.5,0.75,N
5,W.Adames o1.5 hits+runs+rbi,Rotowire Prizepicks,Milwaukee Brewers,W.Adames,St Louis Cardinals,1.0,0.5182481751824818,1.0,0.8,1.0,0.8,1.0,100,1.5,3.0,1.5,Y
6,E.Rodriguez u4.5 Ks,ThePropfessor_,Arizona Diamondbacks,E.Rodriguez,Los Angeles Dodgers,1.0,0.25,0.0,0.25,0.0,0.25,0.0,-135,1.35,2.35,1.0,Y
7,J.Aguiar o2.5 strikeouts,Rotowire,Cincinnati Reds,J.Aguiar,Houston Astros,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,100,0.75,1.5,0.75,N
8,P.Goldschmidt o0.5 Total Bases,theprophunter0_,St Louis Cardinals,P.Goldschmidt,Milwaukee Brewers,0.0,0.6434108527131783,1.0,1.0,1.0,0.9,1.0,-135,1.35,2.35,1.0,Y
9,O.Bido o4.5 Ks,PropBetGuy,Oakland Athletics,O.Bido,Seattle Mariners,1.0,0.875,1.0,1.0,1.0,0.875,1.0,-131,1.31,2.31,1.0,N
10,S.Ohtani o1.5 Total Bases,theprophunter0_,Los Angeles Dodgers,S.Ohtani,Arizona Diamondbacks,0.0,0.553030303030303,1.0,0.6,1.0,0.6,1.0,-105,1.05,2.05,0.9999999999999998,Y
11,M.Amaya o0.5 hits+runs+rbi,Rotowire,Chicago Cubs,M.Amaya,Pittsburgh Pirates,1.0,0.6404494382022472,1.0,0.6,1.0,0.6,1.0,100,0.75,1.5,0.75,N
12,V.Robles o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,V.Robles,Oakland Athletics,0.0,0.68,1.0,1.0,1.0,0.8,1.0,100,0.75,1.5,0.75,Y
13,M.Busch o0.5 total bases,Rotowire Prizepicks,Chicago Cubs,M.Busch,Pittsburgh Pirates,1.0,0.5793650793650794,1.0,0.6,1.0,0.5,0.0,100,1.5,3.0,1.5,N
14,B.Bello o5.5 strikeouts,Rotowire Prizepicks,Boston Red Sox,B.Bello,New York Mets,0.0,0.52,1.0,0.6,1.0,0.6,1.0,100,1.5,3.0,1.5,N
15,M.Busch o0.5 hits+runs+rbi,Rotowire,Chicago Cubs,M.Busch,Pittsburgh Pirates,1.0,0.6587301587301587,1.0,0.8,1.0,0.6,1.0,100,0.75,1.5,0.75,N
16,O.Cruz o1.5 hits+runs+rbi,Rotowire Prizepicks,Pittsburgh Pirates,O.Cruz,Chicago Cubs,0.0,0.4918032786885246,0.0,0.8,1.0,0.8,1.0,100,1.5,3.0,1.5,N
17,G.Stanton o1.5 total bases,Rotowire,New York Yankees,G.Stanton,Texas Rangers,0.0,0.4574468085106383,0.0,0.6,1.0,0.6,1.0,100,0.75,1.5,0.75,Y
18,G.Torres o1.5 hits+runs+rbi,Rotowire,New York Yankees,G.Torres,Texas Rangers,0.0,0.4923076923076923,0.0,0.4,0.0,0.5,0.0,100,0.75,1.5,0.75,Y
19,J.Chisholm o1.5 hits+runs+rbi,Rotowire Prizepicks,New York Yankees,J.Chisholm,Texas Rangers,0.0,0.6956521739130435,1.0,0.8,1.0,0.7,1.0,100,1.5,3.0,1.5,Y
