,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Correct
0,C.Rodon o6.5 Ks,rsura_,New York Yankees,C.Rodon,Kansas City Royals,1.0,0.4285714285714285,0,0.4,0,0.6,1,-118,1.18,2.18,0.9999999999999998,Y
1,B.Singer u2.5 BB,SBK5065,Kansas City Royals,B.Singer,New York Yankees,0.0,0.8571428571428571,1,1.0,1,1.0,1,-160,1.0,1.625,0.625,N
2,N.Martinez u1.5 BB,SBK5065,Cincinnati Reds,N.Martinez,Atlanta Braves,0.0,0.8333333333333334,1,0.6,1,0.8,1,-125,1.0,1.8,0.8,Y
3,W.Buehler u15.5 Outs,SBK5065,Los Angeles Dodgers,W.Buehler,Chicago Cubs,1.0,0.75,1,1.0,1,0.7,1,-131,1.0,1.763358778625954,0.7633587786259541,Y
4,P.Skenes u1.5 Earned Runs,LinesAtLunch,Pittsburgh Pirates,P.Skenes,Miami Marlins,1.0,0.5263157894736842,1,0.4,0,0.4,0,-130,1.3,2.3,0.9999999999999998,Y
5,R.Detmers o16.5 Outs,LinesAtLunch,Los Angeles Angels,R.Detmers,Minnesota Twins,0.0,0.3846153846153846,0,0.2,0,0.3,0,-115,1.15,2.1499999999999995,0.9999999999999996,Y
6,A.Gimenez o1.5 hits+runs+rbi,Rotowire,Cleveland Guardians,A.Gimenez,Chicago White Sox,0.0,0.4661654135338345,0,0.8,1,0.7,1,100,0.75,1.5,0.75,N
7,C.Sanchez o1.5 earned runs,Rotowire,Philadelphia Phillies,C.Sanchez,Tampa Bay Rays,1.0,0.5555555555555556,1,0.8,1,0.8,1,100,0.75,1.5,0.75,N
8,J.Bride o0.5 hits+runs+rbi,Rotowire,Miami Marlins,J.Bride,Pittsburgh Pirates,0.0,0.7291666666666666,1,0.8,1,0.8,1,100,0.75,1.5,0.75,Y
9,R.Burr o1.5 Ks,MoneylineHacks,Toronto Blue Jays,R.Burr,New York Mets,1.0,1.0,1,1.0,1,1.0,1,110,1.0,2.1,1.1,Y
10,G.Conine o0.5 Hits,MoneylineHacks,Miami Marlins,G.Conine,Pittsburgh Pirates,0.0,0.5833333333333334,1,0.6,1,0.6,1,-105,1.0,1.9523809523809523,0.9523809523809524,N
11,S.Kwan o1.5 hits+runs+rbi,Rotowire,Cleveland Guardians,S.Kwan,Chicago White Sox,0.0,0.5565217391304348,1,0.2,0,0.3,0,100,0.75,1.5,0.75,Y
12,S.Ohtani o1.5 total bases,Rotowire,Los Angeles Dodgers,S.Ohtani,Chicago Cubs,1.0,0.5579710144927537,1,0.6,1,0.6,1,100,0.75,1.5,0.75,Y
13,W.Buehler o4.5 hits allowed,Rotowire Prizepicks,Los Angeles Dodgers,W.Buehler,Chicago Cubs,1.0,0.8333333333333334,1,0.8,1,0.8,1,100,1.5,3.0,1.5,Y
14,M.Wallner o0.5 total bases,Rotowire Prizepicks,Minnesota Twins,M.Wallner,Los Angeles Angels,1.0,0.5573770491803278,1,0.8,1,0.6,1,100,1.5,3.0,1.5,N
