,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,M.Betts o0.5 RBI,Thespinzone,175,0.18,0.495,0.315,M.Betts,Los Angeles Dodgers,San Diego Padres,0,0.4095238095238095,0.0,0.4,0.0,0.4,0.0
4,M.Beaty o0.5 RBI,Thespinzone,210,0.15,0.4649999999999999,0.3149999999999999,M.Beaty,Kansas City Royals,Boston Red Sox,0,0.4285714285714285,0.0,0.4,0.0,0.4285714285714285,0.0
7,C.Seager o0.5 RBI,Thespinzone,140,0.1,0.24,0.1399999999999999,C.Seager,Texas Rangers,Oakland Athletics,0,0.5,0.0,0.8,1.0,0.5,0.0
9,J.Bauers o0.5 RBI,Thespinzone,155,0.1,0.255,0.155,J.Bauers,New York Yankees,Chicago White Sox,0,0.25,0.0,0.6,1.0,0.5,0.0
10,M.Olson o0.5 RBI,Thespinzone,105,0.16,0.3279999999999999,0.1679999999999999,M.Olson,Atlanta Braves,Pittsburgh Pirates,0,0.4770642201834862,0.0,1.0,1.0,0.9,1.0
3,J.Soto o0.5 RBI,Thespinzone,160,0.1,0.26,0.16,J.Soto,San Diego Padres,Los Angeles Dodgers,1,,,,,,
9,C.Morel o0.5 RBI,Thespinzone,220,0.15,0.48,0.3299999999999999,C.Morel,Chicago Cubs,New York Mets,0,,,,,,
10,M.Tauchman o0.5 RBI,Thespinzone,220,0.13,0.416,0.286,M.Tauchman,Chicago Cubs,New York Mets,0,,,,,,
19,B.Drury o0.5 RBI,Thespinzone,175,0.1,0.275,0.175,B.Drury,Los Angeles Angels,San Francisco Giants,1,,,,,,
22,C.Seager o0.5 RBI,Thespinzone,140,0.1,0.24,0.1399999999999999,C.Seager,Texas Rangers,Oakland Athletics,0,,,,,,
30,R.McMahon o0.5 RBI,Thespinzone,240,0.1,0.34,0.24,R.McMahon,Colorado Rockies,Milwaukee Brewers,0,,,,,,
31,M.Olson o0.5 RBI,Thespinzone,105,0.16,0.3279999999999999,0.1679999999999999,M.Olson,Atlanta Braves,Pittsburgh Pirates,0,,,,,,
