Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
S.Ohtani o1.5 Total Bases,theprophunter0_,Los Angeles Dodgers,S.Ohtani,Miami Marlins,0.0,0.5510204081632653,1,0.4,0,0.5,0,-105,1.05,2.05,0.9999999999999998
V.Guerrero o1.5 Total Bases,theprophunter0_,Toronto Blue Jays,V.Guerrero,Texas Rangers,0.0,0.0,0,0.0,0,0.0,0,105,1.05,2.1525,1.1024999999999998
