Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
M.Gore u16.5 Outs,PropBetGuy,Washington Nationals,M.Gore,Philadelphia Phillies,1.0,0.5806451612903226,1,0.2,0,0.4,0,-115,1.15,2.1499999999999995,0.9999999999999996
A.Heaney u17.5 Outs,SBK5065,Texas Rangers,A.Heaney,Los Angeles Angels,0.0,0.7241379310344828,1,0.8,1,0.8,1,-115,1.0,1.869565217391304,0.8695652173913042
A.Pallante u17.5 Outs,SBK5065,St Louis Cardinals,A.Pallante,San Francisco Giants,0.0,0.5789473684210527,1,0.6,1,0.6,1,105,1.0,2.05,1.0499999999999998
