,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,M.Yoshida o1.5 Total Bases,JoeDellera,160,0.5,M.Yoshida,1.3,0.8,Boston Red Sox,Philadelphia Phillies,0.0,0.6296296296296297,1.0,1.0,1.0,0.9,1.0
7,G.Perdomo o0.5 Total Bases,Thespinzone,100,0.11,G.Perdomo,0.22,0.11,Arizona Diamondbacks,Washington Nationals,1.0,0.5,0.0,0.6,1.0,0.6,1.0
13,F.Freeman o1.5 total bases,Benjamin Zweiman,115,1.0,F.Freeman,2.15,1.15,Los Angeles Dodgers,San Diego Padres,0.0,0.375,0.0,0.6,1.0,0.5,0.0
0,M.Chapman o1.5 Total Bases,Thespinzone,120,0.12,M.Chapman,0.264,0.144,Toronto Blue Jays,Pittsburgh Pirates,0.0,,,,,,
7,M.Chapman o1.5 Total Bases,NicholaskMartin,130,0.45,M.Chapman,1.035,0.585,Toronto Blue Jays,Pittsburgh Pirates,0.0,,,,,,
11,M.Chapman o1.5 Total Bases,charliedisturco,135,0.88,M.Chapman,2.068,1.1880000000000002,Toronto Blue Jays,Pittsburgh Pirates,0.0,,,,,,
13,M.Yoshida o1.5 Total Bases,JoeDellera,160,0.5,M.Yoshida,1.3,0.8,Boston Red Sox,Philadelphia Phillies,0.0,,,,,,
19,G.Hampson o0.5 Total Bases,charliedisturco,-115,0.2,G.Hampson,0.3739130434782609,0.1739130434782608,Miami Marlins,Chicago Cubs,0.0,,,,,,
28,G.Perdomo o0.5 Total Bases,Thespinzone,100,0.11,G.Perdomo,0.22,0.11,Arizona Diamondbacks,Washington Nationals,1.0,,,,,,
33,T.Edman o1.5 Total Bases,Thespinzone,110,0.1,T.Edman,0.21,0.1099999999999999,St. Louis Cardinals,Detroit Tigers,1.0,,,,,,
36,F.Freeman o1.5 total bases,Benjamin Zweiman,115,1.0,F.Freeman,2.15,1.15,Los Angeles Dodgers,San Diego Padres,0.0,,,,,,
