,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,S.Ohtani o0.5 RBI,Thespinzone,200,0.15,0.4499999999999999,0.2999999999999999,S.Ohtani,Los Angeles Angels,New York Yankees,1.0,0.4893617021276595,0,0.8,1,0.5,0
1,N.Arenado o0.5 RBI,Thespinzone,150,0.15,0.375,0.225,N.Arenado,St. Louis Cardinals,Miami Marlins,1.0,0.4222222222222222,0,0.6,1,0.6,1
