,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,L.Castillo u7.5 strikeouts,Teddy Ricketson,105,1.0,2.05,1.0499999999999998,L.Castillo,Seattle Mariners,Minnesota Twins,1.0
5,C.Silseth o3.5 Ks,SBK5065,-120,0.6,1.1,0.5000000000000001,C.Silseth,Los Angeles Angels,New York Yankees,1.0
11,J.Verlander u6.5 Ks,SBK5065,-125,0.63,1.134,0.5040000000000001,J.Verlander,New York Mets,Chicago White Sox,1.0
17,B.Bello u5.5 Ks,SBK5065,-120,0.6,1.1,0.5000000000000001,B.Bello,Boston Red Sox,Oakland Athletics,0.0
23,S.Alcantara u5.5 Ks,cowhitchurch,-140,0.7,1.2,0.5,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0
24,S.Alcantara u5.5 Ks,SBK5065,-125,0.63,1.134,0.5040000000000001,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0
25,S.Alcantara u5.5 Ks,AnthonyDabbundo,-140,1.4,2.4,1.0,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0
26,S.Alcantara u5.5 Ks,The_Oddsmaker,-140,1.4,2.4,1.0,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0
27,S.Alcantara u5.5 Ks,PropBetGuy,-108,1.08,2.08,1.0,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0
28,R.Hill u4.5 Ks,The_Oddsmaker,-142,1.0,1.704225352112676,0.704225352112676,R.Hill,Pittsburgh Pirates,Cleveland Guardians,1.0
